state_id,parent_id,generation,tau,source,frozen_zero_count,smooth_support,structural_support,structural_additions,hard_support,hard_additions,u_support,v_support,output_support,max_abs_amplitude,residual,note,additions_rel_1em03,support_rel_1em03,additions_rel_1em04,support_rel_1em04,additions_rel_1em06,support_rel_1em06,additions_rel_1em08,support_rel_1em08,additions_rel_1em12,support_rel_1em12,step,tangent_dim,tangent_grad_norm,correction_iters,correction_norm,noise_mix
0,-1,0,0.1,retau:initial,423,561.0161260875857,198,143,198,143,57,71,70,8.639924364388474,1.6636573637991994e-13,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
16,8,3,0.1,projected_sparsity,423,553.7390925781124,198,143,198,143,57,71,70,8.837696896328115,4.504154949290633e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,14.680330672367017,3,0.00930886949991709,0.0
17,8,3,0.1,projected_sparsity_noise,423,553.7756232703771,198,143,198,143,57,71,70,8.841219374802249,4.894557305592145e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,14.680330672367017,3,0.009506163546459815,0.06
18,8,3,0.1,projected_sparsity_noise,423,553.5759929827013,198,143,198,143,57,71,70,8.839056368659985,4.659407474399941e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,14.680330672367017,3,0.008534225393719064,0.12
19,7,3,0.1,projected_sparsity,423,553.7777529690784,198,143,198,143,57,71,70,8.834654604025577,3.4613669181682613e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,14.72863067912483,3,0.009497535547250862,0.0
20,7,3,0.1,projected_sparsity_noise,423,553.7153148076696,198,143,198,143,57,71,70,8.834888321864264,3.3699669237155553e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,14.72863067912483,3,0.00947644488284669,0.06
21,7,3,0.1,projected_sparsity_noise,423,553.641065939976,198,143,198,143,57,71,70,8.838504406085969,4.135770334610537e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,14.72863067912483,3,0.00921618964253841,0.12
22,12,3,0.1,projected_sparsity,423,553.7540048534771,198,143,198,143,57,71,70,8.831283325597434,3.0027616675263038e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,14.533646080505834,3,0.0089118051901345,0.0
23,12,3,0.1,projected_sparsity_noise,423,553.7243758116108,198,143,198,143,57,71,70,8.830940437647817,3.4622072724653308e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,14.533646080505834,3,0.008874995108658256,0.06
24,12,3,0.1,projected_sparsity_noise,423,553.7032953258438,198,143,198,143,57,71,70,8.83057869037766,3.909806188610897e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,14.533646080505834,3,0.00807062714388407,0.12
25,0,3,0.1,projected_sparsity,423,558.385952580556,198,143,198,143,57,71,70,8.70297093568372,4.537248080290891e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.009472052071168517,0.0
26,0,3,0.1,projected_sparsity_noise,423,558.4199771091353,198,143,198,143,57,71,70,8.705435257577424,3.616385397387434e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.009185035988680269,0.06
27,0,3,0.1,projected_sparsity_noise,423,558.4252454152391,198,143,198,143,57,71,70,8.705831704508954,3.890079066868451e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.009010830132263363,0.12
18,8,3,0.1,projected_sparsity_noise,423,553.5759929827013,198,143,198,143,57,71,70,8.839056368659985,4.659407474399941e-15,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
21,7,3,0.1,projected_sparsity_noise,423,553.641065939976,198,143,198,143,57,71,70,8.838504406085969,4.135770334610537e-15,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
24,12,3,0.1,projected_sparsity_noise,423,553.7032953258438,198,143,198,143,57,71,70,8.83057869037766,3.909806188610897e-15,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
0,-1,0,0.1,retau:initial,423,561.0161260875857,198,143,198,143,57,71,70,8.639924364388474,1.6636573637991994e-13,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
28,18,4,0.1,projected_sparsity,423,551.4559545788507,198,143,198,143,57,71,70,8.915284731279273,3.993629447719739e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,13.966048948188943,3,0.013222614917867736,0.0
29,18,4,0.1,projected_sparsity_noise,423,551.4097518716195,198,143,198,143,57,71,70,8.915223652241467,3.2948109874835816e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,13.966048948188943,3,0.013288921078813276,0.06
30,18,4,0.1,projected_sparsity_noise,423,551.4783491834494,198,143,198,143,57,71,70,8.919411051829329,2.7462024375887377e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,13.966048948188943,3,0.013220137922146661,0.12
31,21,4,0.1,projected_sparsity,423,551.5439323345254,198,143,198,143,57,71,70,8.913170446764832,3.1432362134310275e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,14.293539321966469,3,0.013764789267990523,0.0
32,21,4,0.1,projected_sparsity_noise,423,551.4687734780623,198,143,198,143,57,71,70,8.91251170137192,3.3542071981857223e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,14.293539321966469,3,0.013475944461935474,0.06
33,21,4,0.1,projected_sparsity_noise,423,551.5452101571295,198,143,198,143,57,71,70,8.90967157035208,3.3504139443996e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,14.293539321966469,3,0.013069458901630242,0.12
34,24,4,0.1,projected_sparsity,423,551.6788736850913,198,143,198,143,57,71,70,8.905217733639487,3.616872138840404e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,14.172386160243686,3,0.014175105488301627,0.0
35,24,4,0.1,projected_sparsity_noise,423,551.6370608142781,198,143,198,143,57,71,70,8.908132724698087,2.857930823686509e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,14.172386160243686,3,0.013619090939144827,0.06
36,24,4,0.1,projected_sparsity_noise,423,551.6230103712548,198,143,198,143,57,71,70,8.908979034377397,3.30881751444009e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,14.172386160243686,3,0.012506424831332984,0.12
37,0,4,0.1,projected_sparsity,423,558.385952580556,198,143,198,143,57,71,70,8.70297093568372,4.537248080290891e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.009472052071168517,0.0
38,0,4,0.1,projected_sparsity_noise,423,558.3267668692022,198,143,198,143,57,71,70,8.706462233859922,4.213428025283417e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.009678409191052648,0.06
39,0,4,0.1,projected_sparsity_noise,423,558.4142532410008,198,143,198,143,57,71,70,8.707689479573373,3.126576626794146e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.008703880182392354,0.12
29,18,4,0.1,projected_sparsity_noise,423,551.4097518716195,198,143,198,143,57,71,70,8.915223652241467,3.2948109874835816e-15,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
32,21,4,0.1,projected_sparsity_noise,423,551.4687734780623,198,143,198,143,57,71,70,8.91251170137192,3.3542071981857223e-15,frontier,141,196,143,198,143,198,143,198,143,198,,,,,,
33,21,4,0.1,projected_sparsity_noise,423,551.5452101571295,198,143,198,143,57,71,70,8.90967157035208,3.3504139443996e-15,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
0,-1,0,0.1,retau:initial,423,561.0161260875857,198,143,198,143,57,71,70,8.639924364388474,1.6636573637991994e-13,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
40,29,5,0.1,projected_sparsity,423,549.3761390356544,198,143,198,143,57,71,70,8.989950998987377,3.0563375512844883e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.01090217314158,3,0.011183393870695946,0.0
41,29,5,0.1,projected_sparsity_noise,423,549.3242006031367,198,143,198,143,57,71,70,8.989111125999717,3.7202718716745904e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.01090217314158,3,0.011648183754653471,0.06
42,29,5,0.1,projected_sparsity_noise,423,549.288652114036,198,143,198,143,57,71,70,8.990446370297413,4.022700329819214e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,15.01090217314158,3,0.010985385539570604,0.12
43,32,5,0.1,projected_sparsity,423,549.4320123410911,198,143,198,143,57,71,70,8.98734432505906,4.098117496787767e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,14.981095767109386,3,0.011299338809764229,0.0
44,32,5,0.1,projected_sparsity_noise,423,549.4094130348717,198,143,198,143,57,71,70,8.988263178993323,4.1861913140693225e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,14.981095767109386,3,0.011039526735320595,0.06
45,32,5,0.1,projected_sparsity_noise,423,549.5511588808723,198,143,198,143,57,71,70,8.981450092066542,2.98524267428698e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,14.981095767109386,3,0.011005595544011511,0.12
46,33,5,0.1,projected_sparsity,423,549.5218867429578,198,143,198,143,57,71,70,8.983089386932633,3.855559164378464e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,15.157372094210517,3,0.01153955670406825,0.0
47,33,5,0.1,projected_sparsity_noise,423,549.5410921140764,198,143,198,143,57,71,70,8.98526288023656,3.109495383283602e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,15.157372094210517,3,0.011573908328807888,0.06
48,33,5,0.1,projected_sparsity_noise,423,549.6881669103133,198,143,198,143,57,71,70,8.977764386949163,3.723725348712087e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,15.157372094210517,3,0.011963548411427962,0.12
49,0,5,0.1,projected_sparsity,423,558.385952580556,198,143,198,143,57,71,70,8.70297093568372,4.537248080290891e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.009472052071168517,0.0
50,0,5,0.1,projected_sparsity_noise,423,558.3670928725045,198,143,198,143,57,71,70,8.70037391376056,3.5056258816986626e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.009211500228196497,0.06
51,0,5,0.1,projected_sparsity_noise,423,558.372340009284,198,143,198,143,57,71,70,8.702535259243653,2.9281936000812374e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.01051069381888943,0.12
42,29,5,0.1,projected_sparsity_noise,423,549.288652114036,198,143,198,143,57,71,70,8.990446370297413,4.022700329819214e-15,frontier,141,196,143,198,143,198,143,198,143,198,,,,,,
41,29,5,0.1,projected_sparsity_noise,423,549.3242006031367,198,143,198,143,57,71,70,8.989111125999717,3.7202718716745904e-15,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
44,32,5,0.1,projected_sparsity_noise,423,549.4094130348717,198,143,198,143,57,71,70,8.988263178993323,4.1861913140693225e-15,frontier,141,196,143,198,143,198,143,198,143,198,,,,,,
0,-1,0,0.1,retau:initial,423,561.0161260875857,198,143,198,143,57,71,70,8.639924364388474,1.6636573637991994e-13,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
52,42,6,0.1,projected_sparsity,423,547.1401807546781,198,143,198,143,57,71,70,9.065958968564242,4.490457865194282e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,15.69236257877095,3,0.014391035523112654,0.0
53,42,6,0.1,projected_sparsity_noise,423,547.1651456016276,198,143,198,143,57,71,70,9.064102899654992,5.0252070494118174e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,15.69236257877095,3,0.014424483634826782,0.06
54,42,6,0.1,projected_sparsity_noise,423,547.0880827048117,198,143,198,143,57,71,70,9.070810007160434,3.848092219590754e-15,accepted_child,141,196,141,196,143,198,143,198,143,198,0.2,17,15.69236257877095,3,0.014078124792370106,0.12
55,41,6,0.1,projected_sparsity,423,547.1832817499208,198,143,198,143,57,71,70,9.06396763964224,3.5497338018834298e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.908000187884399,3,0.01457735668499737,0.0
56,41,6,0.1,projected_sparsity_noise,423,547.239338797135,198,143,198,143,57,71,70,9.062380507370724,3.732451229837823e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,15.908000187884399,3,0.014736803090925708,0.06
57,41,6,0.1,projected_sparsity_noise,423,547.2418265087147,198,143,198,143,57,71,70,9.070074400920928,3.0232710847817124e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.908000187884399,3,0.014262919028737676,0.12
58,44,6,0.1,projected_sparsity,423,547.2705204785445,198,143,198,143,57,71,70,9.062433437235121,5.033298452311462e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,16.012773224598096,3,0.01472065142732987,0.0
59,44,6,0.1,projected_sparsity_noise,423,547.2694268878269,198,143,198,143,57,71,70,9.063217653950298,3.772404101608042e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,16.012773224598096,3,0.014475189459898657,0.06
60,44,6,0.1,projected_sparsity_noise,423,547.2946635604249,198,143,198,143,57,71,70,9.06209152132271,3.3225878211481482e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,16.012773224598096,3,0.01412658650092974,0.12
61,0,6,0.1,projected_sparsity,423,558.385952580556,198,143,198,143,57,71,70,8.70297093568372,4.537248080290891e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.009472052071168517,0.0
62,0,6,0.1,projected_sparsity_noise,423,558.3869603143056,198,143,198,143,57,71,70,8.707879109806884,4.226093951914949e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.008801891313514939,0.06
63,0,6,0.1,projected_sparsity_noise,423,558.390695300103,198,143,198,143,57,71,70,8.69994862926053,3.986690144214169e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.014700635473573849,0.12
54,42,6,0.1,projected_sparsity_noise,423,547.0880827048117,198,143,198,143,57,71,70,9.070810007160434,3.848092219590754e-15,frontier,141,196,141,196,143,198,143,198,143,198,,,,,,
52,42,6,0.1,projected_sparsity,423,547.1401807546781,198,143,198,143,57,71,70,9.065958968564242,4.490457865194282e-15,frontier,141,196,143,198,143,198,143,198,143,198,,,,,,
53,42,6,0.1,projected_sparsity_noise,423,547.1651456016276,198,143,198,143,57,71,70,9.064102899654992,5.0252070494118174e-15,frontier,141,196,143,198,143,198,143,198,143,198,,,,,,
0,-1,0,0.1,retau:initial,423,561.0161260875857,198,143,198,143,57,71,70,8.639924364388474,1.6636573637991994e-13,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
64,54,7,0.1,projected_sparsity,423,544.7895090893139,198,143,198,143,57,71,70,9.146534212375187,3.861180122284362e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,16.25221963648516,3,0.011501649559485988,0.0
65,54,7,0.1,projected_sparsity_noise,423,544.9131060573619,198,143,198,143,57,71,70,9.147281539040996,2.7637917231930068e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,16.25221963648516,3,0.011481904278879806,0.06
66,54,7,0.1,projected_sparsity_noise,423,544.7779834712408,198,143,198,143,57,71,70,9.14671889394938,3.435815173005144e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,16.25221963648516,3,0.011502211962408996,0.12
67,52,7,0.1,projected_sparsity,423,544.8450075740518,198,143,198,143,57,71,70,9.14041937506187,4.369285473950504e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,16.50384770651459,3,0.011660620673210989,0.0
68,52,7,0.1,projected_sparsity_noise,423,544.7652186969361,198,143,198,143,57,71,70,9.143225217365998,5.48051932366523e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,16.50384770651459,3,0.01157609284421831,0.06
69,52,7,0.1,projected_sparsity_noise,423,544.9013826508696,198,143,198,143,57,71,70,9.144036307066225,5.248651759297796e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,16.50384770651459,3,0.012417853883403624,0.12
70,53,7,0.1,projected_sparsity,423,544.869696164026,198,143,198,143,57,71,70,9.138291620533012,3.63645946395694e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,16.560596789591933,3,0.01169039173135903,0.0
71,53,7,0.1,projected_sparsity_noise,423,544.9042423904102,198,143,198,143,57,71,70,9.139430252671868,4.065668040234881e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,16.560596789591933,3,0.011983784692174777,0.06
72,53,7,0.1,projected_sparsity_noise,423,544.9861728589533,198,143,198,143,57,71,70,9.13679280176096,3.5917935650530675e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,16.560596789591933,3,0.012053328959993672,0.12
73,0,7,0.1,projected_sparsity,423,558.385952580556,198,143,198,143,57,71,70,8.70297093568372,4.537248080290891e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.009472052071168517,0.0
74,0,7,0.1,projected_sparsity_noise,423,558.3577711550963,198,143,198,143,57,71,70,8.707579184851532,3.770302213496103e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.010011486131710523,0.06
75,0,7,0.1,projected_sparsity_noise,423,558.3231081045654,198,143,198,143,57,71,70,8.704388885416336,3.580566444545355e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.008883383073316986,0.12
68,52,7,0.1,projected_sparsity_noise,423,544.7652186969361,198,143,198,143,57,71,70,9.143225217365998,5.48051932366523e-15,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
67,52,7,0.1,projected_sparsity,423,544.8450075740518,198,143,198,143,57,71,70,9.14041937506187,4.369285473950504e-15,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
70,53,7,0.1,projected_sparsity,423,544.869696164026,198,143,198,143,57,71,70,9.138291620533012,3.63645946395694e-15,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
0,-1,0,0.1,retau:initial,423,561.0161260875857,198,143,198,143,57,71,70,8.639924364388474,1.6636573637991994e-13,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
76,68,8,0.1,projected_sparsity,423,542.310511265267,198,143,198,143,57,71,70,9.220807775839388,3.0018388740309744e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,16.531268849267335,3,0.012953314531440207,0.0
77,68,8,0.1,projected_sparsity_noise,423,542.3681090994185,198,143,198,143,57,71,70,9.217026623535695,4.651536372888954e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,16.531268849267335,3,0.012886665678815983,0.06
78,68,8,0.1,projected_sparsity_noise,423,542.4672624120399,198,143,198,143,57,71,70,9.21755842588107,3.6886875347632124e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,16.531268849267335,3,0.013218003463635608,0.12
79,67,8,0.1,projected_sparsity,423,542.4027542735059,198,143,198,143,57,71,70,9.216620940768234,3.640143835643063e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,16.807773781134646,3,0.013230385579650785,0.0
80,67,8,0.1,projected_sparsity_noise,423,542.3552341848963,198,143,198,143,57,71,70,9.215279594953124,4.9580844296589165e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,16.807773781134646,3,0.012671257257228561,0.06
81,67,8,0.1,projected_sparsity_noise,423,542.3130882550358,198,143,198,143,57,71,70,9.21700458691014,5.441062931710817e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,16.807773781134646,3,0.01308000977084787,0.12
82,70,8,0.1,projected_sparsity,423,542.4287138836667,198,143,198,143,57,71,70,9.21455361908469,3.3670317459847215e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,16.794133941565324,3,0.013229660748020936,0.0
83,70,8,0.1,projected_sparsity_noise,423,542.4120351176396,198,143,198,143,57,71,70,9.217655744326207,4.5922312908062764e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,16.794133941565324,3,0.01352946196313836,0.06
84,70,8,0.1,projected_sparsity_noise,423,542.5165740869999,198,143,198,143,57,71,70,9.21169436648001,3.3559290952545534e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,16.794133941565324,3,0.013905926403391881,0.12
85,0,8,0.1,projected_sparsity,423,558.385952580556,198,143,198,143,57,71,70,8.70297093568372,4.537248080290891e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.009472052071168517,0.0
86,0,8,0.1,projected_sparsity_noise,423,558.4490319844253,198,143,198,143,57,71,70,8.702748279055774,3.838178717350474e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.010135585579100844,0.06
87,0,8,0.1,projected_sparsity_noise,423,558.3790924703128,198,143,198,143,57,71,70,8.704296119008976,4.151173564173992e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,15.523448861662413,3,0.009722233089813221,0.12
76,68,8,0.1,projected_sparsity,423,542.310511265267,198,143,198,143,57,71,70,9.220807775839388,3.0018388740309744e-15,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
81,67,8,0.1,projected_sparsity_noise,423,542.3130882550358,198,143,198,143,57,71,70,9.21700458691014,5.441062931710817e-15,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
80,67,8,0.1,projected_sparsity_noise,423,542.3552341848963,198,143,198,143,57,71,70,9.215279594953124,4.9580844296589165e-15,frontier,141,196,143,198,143,198,143,198,143,198,,,,,,
0,-1,0,0.1,retau:initial,423,561.0161260875857,198,143,198,143,57,71,70,8.639924364388474,1.6636573637991994e-13,frontier,143,198,143,198,143,198,143,198,143,198,,,,,,
88,76,9,0.1,projected_sparsity,423,539.7390940137032,198,143,198,143,57,71,70,9.297997059192225,4.046835399214758e-15,accepted_child,143,198,143,198,143,198,143,198,143,198,0.2,17,17.052899323561707,3,0.011491008926400002,0.0
89,76,9,0.1,projected_sparsity_noise,423,539.7167350959483,198,143,198,143,57,71,70,9.302690800081502,3.637172035948211e-15,accepted_child,141,196,143,198,143,198,143,198,143,198,0.2,17,17.052899323561707,3,0.011235126178588274,0.06
