trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,1.7828518871993097e-15,True,3.5856302713906046e-15,3.210486904744638,True,46,45.99999999999875,1.1368683772161603e-13,2.1829865046785417,4.269783505997236
0,1.0,2.5,1.7828518871993097e-15,True,2.92575090793357e-15,2.690594851965485,True,46,45.99999999999898,-1.1368683772161603e-13,2.275192284134719,4.004079210631084
1,-1.0,2.5,1.0847199834293886e-15,True,2.95115089234908e-15,2.462085850762912,True,46,45.99999999999932,-4.547473508864641e-13,2.1291144567515574,4.194885132787933
1,1.0,2.5,1.0847199834293886e-15,True,3.516371469308805e-15,3.8874904387005165,True,46,45.999999999998636,2.2737367544323206e-13,2.438022815166468,4.1429016682215
2,-1.0,2.5,1.1789596701757702e-15,True,3.2206583896913866e-15,3.5482063845292044,True,46,45.99999999999886,0.0,2.074311939430294,3.8886764186141063
2,1.0,2.5,1.1789596701757702e-15,True,3.3039514029781204e-15,3.15018013389049,True,46,46.000000000098225,-9.936229616869241e-11,2.3059792043166807,4.353566131457559
3,-1.0,2.5,2.3162584272006038e-15,True,5.510426000776858e-15,1.9797248483882013,True,46,45.99999999999852,3.410605131648481e-13,2.123445749404575,4.419466376679692
3,1.0,2.5,2.3162584272006038e-15,True,3.3498831359131954e-15,2.656195264732132,True,46,45.99999999999841,4.547473508864641e-13,2.069825726816359,4.1398659788422
4,-1.0,2.5,1.3230213138392676e-15,True,4.2998299367002034e-11,2.496538760606753,True,46,45.999999968698376,3.130048753519077e-08,2.2174601086342394,4.133209587314354
4,1.0,2.5,1.3230213138392676e-15,True,7.434652358948286e-13,4.066365664614997,True,46,45.999999999928264,7.059952622512355e-11,2.0739183274461666,4.097043096669141
