generation,rank,basin_id,parent_id,source,soft_nullity,hard_nullity,susceptibility,susceptibility_channel,death_distance,best_channel,best_amplitude,best_killability,max_abs_amplitude,residual,expansion_count,last_expanded_generation,accepted,note,probe_residual,probe_channel
0,26,0,-1,initial,135.0,135,0.38685319520924943,22,2.7192774713507473,22,2.0,0.7354894897895577,2.8284271247461903,6.280369834735101e-16,0,-1,True,frontier,,
0,26,0,-1,initial,135.0,135,0.38685319520924943,22,2.7192774713507473,22,2.0,0.7354894897895577,2.8284271247461903,6.280369834735101e-16,0,-1,False,full_delete_probe,1.0000109272507247,22
0,26,0,-1,initial,135.0,135,0.38685319520924943,22,2.7192774713507473,22,2.0,0.7354894897895577,2.8284271247461903,6.280369834735101e-16,1,0,True,expanded:genericity+deletion+death,,
1,26,11,0,exact_hop,64.56460809056784,62,0.07392837825093222,21,2.590535074625532,20,1.650547323758816,0.6371453295213177,5.605428700564982,1.633492651115212e-15,0,-1,True,pareto_kept_polished,,
1,26,14,0,off_manifold_hop,80.00000646448268,80,1.0000219252147757,9,2.224980168713658,6,1.2457523881586812,0.5598937040768753,3.1402821963327776,1.720987409284706e-15,0,-1,True,pareto_kept_polished,,
0,26,0,-1,initial,135.0000000000001,135,0.38685319520924943,22,2.7192774713507477,20,2.0,0.7354894897895576,2.8284271247461903,6.280369834735101e-16,1,0,True,pareto_kept_polished,,
1,26,12,0,exact_hop,72.00000146389311,72,0.10760299246443492,21,2.4704950836254613,23,1.6933512847788996,0.6854299350775878,3.1719416603229424,1.878466038254702e-15,0,-1,True,pareto_kept_polished,,
1,26,11,0,exact_hop,64.56460809056784,62,0.07392837825093222,21,2.590535074625532,20,1.650547323758816,0.6371453295213177,5.605428700564982,1.633492651115212e-15,0,-1,True,frontier,,
1,26,14,0,off_manifold_hop,80.00000646448268,80,1.0000219252147757,9,2.224980168713658,6,1.2457523881586812,0.5598937040768753,3.1402821963327776,1.720987409284706e-15,0,-1,True,frontier,,
0,26,0,-1,initial,135.0000000000001,135,0.38685319520924943,22,2.7192774713507477,20,2.0,0.7354894897895576,2.8284271247461903,6.280369834735101e-16,1,0,True,frontier,,
1,26,12,0,exact_hop,72.00000146389311,72,0.10760299246443492,21,2.4704950836254613,23,1.6933512847788996,0.6854299350775878,3.1719416603229424,1.878466038254702e-15,0,-1,True,frontier,,
1,26,11,0,exact_hop,64.56460809056784,62,0.07392837825093222,21,2.590535074625532,20,1.650547323758816,0.6371453295213177,5.605428700564982,1.633492651115212e-15,0,-1,False,full_delete_probe,1.0007261318718612,21
1,26,11,0,exact_hop,64.56460809056784,62,0.07392837825093222,21,2.590535074625532,20,1.650547323758816,0.6371453295213177,5.605428700564982,1.633492651115212e-15,1,1,True,expanded:genericity+deletion,,
1,26,14,0,off_manifold_hop,80.00000646448268,80,1.0000219252147757,9,2.224980168713658,6,1.2457523881586812,0.5598937040768753,3.1402821963327776,1.720987409284706e-15,1,1,True,expanded:death,,
1,26,12,0,exact_hop,72.00000146389311,72,0.10760299246443492,21,2.4704950836254613,23,1.6933512847788996,0.6854299350775878,3.1719416603229424,1.878466038254702e-15,1,1,True,expanded:explore,,
1,26,11,0,exact_hop,64.56460809193311,62,0.07392837825093222,21,2.5905350740135344,20,1.650547323758816,0.6371453296718392,5.605428700564982,1.633674936048728e-15,1,1,True,pareto_kept_polished,,
2,26,59,12,off_manifold_hop,70.00000000090859,70,0.030696429569390428,8,2.2204998445974615,9,1.2802859490342111,0.5765755634476547,3.297836353644425,1.7382919679088048e-15,0,-1,True,pareto_kept_polished,,
2,26,43,14,exact_hop,82.00000000113823,82,1.0001488384613215,2,1.9372897189310496,2,1.3753957634493588,0.7099587377195546,3.151131829032923,2.3234940412180772e-15,0,-1,True,pareto_kept_polished,,
0,26,0,-1,initial,135.0000000000001,135,0.38685319520924943,22,2.7192774713507477,20,2.0,0.7354894897895576,2.8284271247461903,6.280369834735101e-16,1,0,True,pareto_kept_polished,,
1,26,11,0,exact_hop,64.56460809193311,62,0.07392837825093222,21,2.5905350740135344,20,1.650547323758816,0.6371453296718392,5.605428700564982,1.633674936048728e-15,1,1,True,frontier,,
2,26,59,12,off_manifold_hop,70.00000000090859,70,0.030696429569390428,8,2.2204998445974615,9,1.2802859490342111,0.5765755634476547,3.297836353644425,1.7382919679088048e-15,0,-1,True,frontier,,
2,26,43,14,exact_hop,82.00000000113823,82,1.0001488384613215,2,1.9372897189310496,2,1.3753957634493588,0.7099587377195546,3.151131829032923,2.3234940412180772e-15,0,-1,True,frontier,,
0,26,0,-1,initial,135.0000000000001,135,0.38685319520924943,22,2.7192774713507477,20,2.0,0.7354894897895576,2.8284271247461903,6.280369834735101e-16,1,0,True,frontier,,
2,26,59,12,off_manifold_hop,70.00000000090859,70,0.030696429569390428,8,2.2204998445974615,9,1.2802859490342111,0.5765755634476547,3.297836353644425,1.7382919679088048e-15,0,-1,False,full_delete_probe,1.0006029250707933,8
