trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,1.0972101677689567e-15,True,6.6568140449154525e-15,4.257703832868319,False,34,34.000000000000114,1.1368683772161603e-13,2.6161806852417735,8.349637095127887
0,1.0,2.5,1.0972101677689567e-15,True,2.4473131310727397e-11,4.4469325906280295,False,34,33.99999995687347,4.3126760829181876e-08,2.5675832166201475,8.255064858459427
1,-1.0,2.5,1.1167145053781063e-15,True,4.6261425630249536e-11,4.671095426670524,False,34,33.99999999647321,3.5270204534754157e-09,2.3202112242650483,8.40770773570833
1,1.0,2.5,1.1167145053781063e-15,True,5.974336199447749e-15,4.256666349450714,False,34,34.00000000000023,0.0,2.1212601044190134,8.311736224490561
2,-1.0,2.5,1.0958710661843725e-15,True,5.5987514576771217e-14,3.674102484864138,False,34,34.00000000000023,0.0,3.391232965674099,8.004713686922289
2,1.0,2.5,1.0958710661843725e-15,True,3.834430230904621e-12,3.3633543823393994,False,34,33.99999999992815,7.207745511550456e-11,1.861640319408368,8.187247079681157
3,-1.0,2.5,1.1548607689605624e-15,True,2.485974833809921e-11,3.7789219382188937,False,34,33.99999999676595,3.2342768463422544e-09,2.0590240593844684,9.120626931215027
3,1.0,2.5,1.1548607689605624e-15,True,9.22362171473545e-15,4.153012253467859,False,34,34.000000000000796,-5.684341886080801e-13,1.839461800590984,8.287566495588113
4,-1.0,2.5,1.211474516229487e-15,True,4.614962330035695e-11,2.171004467073677,True,34,33.999999999302304,6.979234967730008e-10,2.3955062357025168,7.82756985734448
4,1.0,2.5,1.211474516229487e-15,True,7.094682100251863e-15,2.143399225653594,False,34,34.000000000000114,1.1368683772161603e-13,3.2859669954009476,8.414635734848563
