iteration,channel,amplitude,killability,residual,jacobian_rank,tangent_dim,sigma_min_positive,max_abs_amplitude,amp_step
0,6,1.2974909406685111,0.6252953470736826,9.203190068770617e-14,610,34,0.07230955551261574,5.047009725457504,0.05
1,6,1.272490940668511,0.5958737706410862,4.359770585787613e-15,610,34,0.07241296302721283,5.050549721009828,0.03250000000000003
2,6,1.239990940668511,0.5526374551014945,4.957154122479884e-13,610,34,0.07260236603430703,5.057252125247273,0.04224999999999997
3,6,1.2188659406685112,0.5210330353568662,4.147212237043252e-15,610,34,0.07265799322490381,5.060152589610605,0.027462499999999935
4,6,1.2051346906685112,0.4988093712542113,4.6236275268210824e-15,610,34,0.07266568006083718,5.0614339893421265,0.017850624999999964
5,6,1.1872840656685113,0.46780699277606763,4.1791774369209906e-15,610,34,0.07267927742570901,5.063587647883328,0.023205812499999867
6,6,1.1640782531685114,0.4235658275746126,6.042994364487084e-13,610,34,0.07271813531746338,5.0672968443840976,0.030167556249999828
7,6,1.1339106969185115,0.3583848726793426,1.1313699355796341e-14,610,34,0.07298661384474783,5.074212467527448,0.039217823124999864
8,6,1.0946928737935118,0.2574930202634883,4.1103045925247735e-15,610,34,0.07445949246359278,5.090676976067867,0.05
9,6,1.0696928737935116,0.17892952176276425,4.223396878700017e-15,610,34,0.0753305444334497,5.105762429673813,0.03250000000000003
10,6,1.0371928737935117,0.0853235296116042,4.256523562910344e-15,610,34,0.07738318437712802,5.147190685628477,0.04224999999999997
11,6,1.03,0.07313469408368434,3.941606331988487e-15,610,34,0.07752026600759503,5.161296396735356,0.009350735931565124
