trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,5.301109370576276e-13,True,1.980856707273475e-12,3.2785515758006056,True,34,34.000000007941594,-7.734797691227868e-09,3.0532487782044035,7.16417517089121
0,1.0,2.5,5.301109370576276e-13,True,6.0043695098786395e-15,3.687597186695114,True,34,34.0000000002326,-2.580691216280684e-11,2.423158070761821,7.331593231032242
1,-1.0,2.5,7.96764910167594e-13,True,7.343849142464042e-15,2.0151646373437995,True,34,34.000000000279215,-7.241851562866941e-11,2.5566435119332143,7.266350070672869
1,1.0,2.5,7.96764910167594e-13,True,4.447080468141118e-12,2.1922381311813446,True,34,34.00000000143609,-1.2292957762838341e-09,2.421803173319577,7.107197244775652
2,-1.0,2.5,7.983808539857142e-13,True,5.426038169060423e-15,4.027035026558388,True,34,34.000000000301156,-9.43600753089413e-11,2.2532927111832235,6.942307048062893
2,1.0,2.5,7.983808539857142e-13,True,6.222616087896094e-15,2.1980463462869277,True,34,34.00000000342004,-3.2132447813637555e-09,2.984486050996429,7.560549727391635
3,-1.0,2.5,9.499295672246443e-13,True,5.907801108194401e-15,2.7006213170058375,True,34,34.000000000233285,-2.6489033189136535e-11,3.015914190253826,7.261418026399097
3,1.0,2.5,9.499295672246443e-13,True,7.94189480527977e-12,2.222353964452079,True,34,34.000000000332875,-1.2607870303327218e-10,2.869627900883144,7.490937181984764
4,-1.0,2.5,6.157272715973806e-13,True,5.5262026062328816e-15,5.804502703248708,True,34,34.00000000044679,-2.3999291443033144e-10,2.3833865446928018,7.6288761818094715
4,1.0,2.5,6.157272715973806e-13,True,5.8874190274697735e-15,2.0910736341857707,True,34,34.000000001422904,-1.2161081031081267e-09,3.080976295172026,6.832508156111621
