generation,rank,basin_id,parent_id,roles,expansion_count,soft_nullity,susceptibility,death_distance,source
0,23,0,-1,genericity+deletion+death,1,33.999999999999886,1.0025452303399427,2.172641998549524,initial
1,23,14,0,genericity,1,33.99999999999875,1.0024782799465006,2.0750049504456323,exact_hop
1,23,13,0,deletion+death,1,33.99999999999977,1.00058037689592,2.07316358952546,exact_hop
1,23,12,0,explore,1,33.99999999999977,1.0065685185435576,2.7573345649157344,exact_hop
2,23,13,0,genericity+deletion,2,33.99999999999977,1.00058037689592,2.073163589525457,exact_hop
2,23,29,14,death,1,33.99999999999977,1.0008138315717137,1.8802702372163593,exact_hop
2,23,32,14,explore,1,33.99999999999977,1.00615336417839,2.3986354151107854,off_manifold_hop
3,23,13,0,genericity+deletion,3,33.99999999999977,1.00058037689592,2.0731635895254565,exact_hop
3,23,29,14,death,2,33.99999999999977,1.0008138315717137,1.8802702372163618,exact_hop
3,23,87,29,explore,1,33.99999999999977,1.0033614918636604,2.6634327483554894,exact_hop
3,23,32,14,explore,2,33.99999999999977,1.00615336417839,2.39863541511079,off_manifold_hop
4,23,162,32,genericity,1,33.00000000002342,1.0009419403469815,3.1021735321029418,exact_hop
4,23,150,87,deletion,1,33.99999999999977,1.0003045048498667,2.3107956849063394,off_manifold_hop
4,23,148,87,death,1,33.99999999999977,1.0007403210847017,1.8687980950826877,exact_hop
5,23,176,162,genericity,1,33.000000000005116,1.0122452538946602,3.3163276249614118,exact_hop
5,23,150,87,deletion,2,33.99999999999977,1.0003045048498667,2.310795684906337,off_manifold_hop
5,23,208,148,death,1,33.99999999999977,1.0010340119818195,1.8317739162100857,exact_hop
6,23,176,162,genericity,2,33.000000000005116,1.0122452538946602,3.3163276249614184,exact_hop
6,23,150,87,deletion,3,33.99999999999977,1.0003045048498667,2.310795684906337,off_manifold_hop
6,23,208,148,death,2,33.99999999999977,1.0010340119818195,1.8317739162100852,exact_hop
6,23,32,14,explore,3,33.99999999999977,1.00615336417839,2.3986354151107836,off_manifold_hop
7,23,176,162,genericity,3,33.000000000005,1.0122452538946602,3.316327624961417,exact_hop
7,23,286,150,deletion,1,33.99999999999977,1.0001555411900096,1.992777053766472,off_manifold_hop
7,23,208,148,death,3,33.99999999999977,1.0010340119818195,1.8317739162100866,exact_hop
8,23,331,176,genericity,1,33.0,1.0015829289749005,2.4893446969414543,off_manifold_hop
8,23,286,150,deletion,2,33.99999999999977,1.0001555411900096,1.9927770537664737,off_manifold_hop
8,23,359,208,death,1,33.99999999999977,1.000892056995298,1.8225755772433385,exact_hop
9,23,373,331,genericity,1,33.00000000000023,1.0080612304735785,2.8832858428344847,exact_hop
9,23,286,150,deletion,3,33.99999999999977,1.0001555411900096,1.9927770537664713,off_manifold_hop
