trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,2.594167028519654e-13,False,0.5671982721575747,4.320228388844239,,,,,,
0,1.0,2.5,2.594167028519654e-13,False,0.5144671471024671,5.605811500925999,,,,,,
1,-1.0,2.5,3.96971826697022e-13,True,5.586089070750962e-15,7.122402629914454,False,34,34.00000000006003,-1.0629719326971099e-10,2.6587627204772746,8.640006724588968
1,1.0,2.5,3.96971826697022e-13,True,4.418522232978729e-11,5.659028718826878,True,34,33.999999999874944,7.878497854107991e-11,2.9891038770915803,7.7423139317209655
2,-1.0,2.5,2.924616378790961e-13,True,5.526145710884021e-15,5.280554081319223,False,34,34.000000000059686,-1.0595613275654614e-10,2.5305905259204855,8.35843140757365
2,1.0,2.5,2.924616378790961e-13,True,4.903775153364901e-11,5.90094578404356,False,34,33.999999999932015,2.1714186004828662e-11,2.207209467988343,8.343271494116182
3,-1.0,2.5,3.3550795168591483e-13,True,5.711375479927715e-15,2.44343712311844,True,34,34.000000000068894,-1.1516476661199704e-10,2.263747788146037,7.621259581136175
3,1.0,2.5,3.3550795168591483e-13,True,5.1897393395807345e-15,6.585302072113813,False,34,34.000000000052296,-9.85664883046411e-11,2.386071092276043,9.019792595838627
4,-1.0,2.5,2.1559996395813624e-13,False,0.6322477051618492,4.087478200937112,,,,,,
4,1.0,2.5,2.1559996395813624e-13,False,0.7039950656126429,3.2235052919461595,,,,,,
