trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,1.0937243952212143e-15,True,4.362170187407597e-15,5.103047248674574,True,34,34.0000000000108,-1.1823431123048067e-11,2.0540737730727385,5.838925227687966
0,1.0,2.5,1.0937243952212143e-15,False,0.1849112844440192,9.250333465820194,,,,,,
1,-1.0,2.5,9.597946404083346e-16,False,0.7384201610968989,3.471472789067394,,,,,,
1,1.0,2.5,9.597946404083346e-16,False,0.707106530337459,1.8309148389225205,,,,,,
2,-1.0,2.5,9.649793047037264e-16,False,0.27856310975529924,9.302075680203746,,,,,,
2,1.0,2.5,9.649793047037264e-16,True,9.823172106763189e-12,3.583479996385775,True,34,33.99999997248278,2.7516193767951336e-08,2.6406956119008647,5.318526521793018
3,-1.0,2.5,1.053390343130837e-15,False,0.8769221151561488,3.4625290742363926,,,,,,
3,1.0,2.5,1.053390343130837e-15,True,8.622832631488926e-15,3.7467637007372283,True,34,34.000000000015234,-1.6257217794191092e-11,1.989336748258975,5.461416053396655
4,-1.0,2.5,1.0020844640887748e-15,False,0.4910041573758459,7.791396785665678,,,,,,
4,1.0,2.5,1.0020844640887748e-15,False,0.5511335031093128,6.087179445700827,,,,,,
