trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,2.019336589678002e-15,True,1.6850817897780798e-13,11.31286022765725,False,34,33.999999999999545,2.2737367544323206e-13,3.0105518463683745,8.628472248963964
0,1.0,2.5,2.019336589678002e-15,True,1.3402128251753606e-14,7.040159162487817,False,34,33.99999999999977,0.0,2.8070066904080933,8.077273330826
1,-1.0,2.5,1.2945093021924663e-15,True,7.099828680292732e-15,5.826870114356242,True,34,33.99999999999966,1.1368683772161603e-13,2.4212403448164403,7.820135749381468
1,1.0,2.5,1.2945093021924663e-15,True,8.979699643771942e-14,3.9351378974042244,False,34,33.99999999999977,0.0,2.6055322081621264,8.147591897637938
2,-1.0,2.5,1.5569076703787926e-15,True,6.4848881967007485e-15,7.767189431696796,False,34,33.99999999999977,0.0,3.0260026639819646,8.109038683689889
2,1.0,2.5,1.5569076703787926e-15,True,6.114881490709313e-15,6.434023925341292,False,34,33.99999999999977,0.0,3.498857944413368,8.367528542339686
3,-1.0,2.5,1.3504871616752922e-15,True,4.2152776552175646e-11,9.177377981653258,False,34,33.999999933517756,6.648201633652207e-08,2.132833787276521,8.127176563981738
3,1.0,2.5,1.3504871616752922e-15,False,0.22916810545789526,8.973624294200254,,,,,,
4,-1.0,2.5,1.406220626335385e-15,True,6.079503443430368e-15,2.643136936622023,False,34,33.99999999999977,0.0,3.2701457764215824,8.270193727372611
4,1.0,2.5,1.406220626335385e-15,True,1.2494184683625463e-12,6.505739375270676,False,34,33.999999999979764,2.000888343900442e-11,3.337885020034552,8.393514163139463
