r,s,projected_gradient_norm,collision_value,sign_u,sign_v,sign_w,amp_r,amp_s
8,18,0.6666666666666669,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
10,11,0.6666666666666669,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
12,13,0.6666666666666669,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
0,1,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
0,2,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
0,3,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
0,14,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
1,2,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
2,8,0.6666666666666667,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
3,10,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
6,7,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
9,10,0.6666666666666667,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
0,9,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
1,4,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
1,7,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
3,5,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
3,15,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
4,5,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
4,7,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
6,8,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
6,11,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
9,11,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
9,14,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
12,17,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
13,18,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
14,16,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
15,16,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
16,17,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
16,18,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
