trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,1.9500772389971054e-15,True,4.1407845865623416e-15,1.855584284818212,True,52,51.99999999999898,-0.9999999999997726,2.2949604541581268,4.983278292448844
0,1.0,2.5,1.9500772389971054e-15,True,4.6595349341039e-15,1.9610468386433522,True,51,50.99999999999886,3.410605131648481e-13,2.13993562573113,4.5114376204457365
1,-1.0,2.5,2.122243754253723e-15,True,6.73931845003641e-11,2.332122361408371,True,50,49.999999837858695,1.000000162140509,2.2103673836652145,4.878002692804281
1,1.0,2.5,2.122243754253723e-15,True,3.715248778243195e-15,2.0693448375508208,True,51,50.99999999999886,3.410605131648481e-13,2.1667224419789437,4.4207364302464125
2,-1.0,2.5,1.890390117334238e-15,True,8.094556018539525e-14,2.851896195238876,True,51,50.99999999999841,7.958078640513122e-13,2.157408779247127,4.665124162695958
2,1.0,2.5,1.890390117334238e-15,True,3.6301868386098485e-15,3.46371765394981,True,51,51.00000000001103,-1.1823431123048067e-11,2.1309628303042576,4.371618459735066
3,-1.0,2.5,2.103833888154681e-15,True,3.442751797699592e-15,1.7546214324184668,True,51,51.000000000001364,-2.1600499167107046e-12,2.3206862532043004,4.64617285627175
3,1.0,2.5,2.103833888154681e-15,True,3.3053616994985805e-15,2.2674804650462757,True,51,50.99999999999909,1.1368683772161603e-13,2.1112637012008344,4.3113348235125475
4,-1.0,2.5,1.348842830708601e-15,True,5.942939028684944e-14,2.8954721384161934,True,51,50.99999999999909,1.1368683772161603e-13,2.5284388460559857,5.358665131294309
4,1.0,2.5,1.348842830708601e-15,True,9.912416514776103e-14,2.566654618063751,True,51,50.999999999998636,5.684341886080801e-13,2.127281193136944,4.620026096339048
