trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,8.743173807081343e-16,True,4.268497731022273e-12,3.3152837204891936,True,64,63.999999998952376,1.0473968359292485e-09,2.013040660695413,5.1803626748867755
0,1.0,2.5,8.743173807081343e-16,True,4.060404976555912e-15,4.6068516981549035,True,64,63.99999999999977,0.0,1.9339129390542467,5.315048765176195
1,-1.0,2.5,1.0352188873433209e-15,True,6.785709106521709e-12,3.4846760569208133,True,64,63.999999999447596,5.521769708138891e-10,1.9845079267154995,5.334056967458084
1,1.0,2.5,1.0352188873433209e-15,True,3.657702496888062e-15,4.631577475393455,True,64,63.999999999999545,2.2737367544323206e-13,2.152832971013038,5.443771950682462
2,-1.0,2.5,1.097596682753036e-15,True,4.481035708573059e-13,4.873508523652592,True,64,63.99999999999443,5.343281372915953e-12,1.9770108116991048,5.627935000333385
2,1.0,2.5,1.097596682753036e-15,True,1.6763242691877745e-11,4.180334935285887,True,64,63.9999999639964,3.600337095122086e-08,2.172898547297245,5.03818782675319
3,-1.0,2.5,9.023122845585117e-16,True,1.4448507193963535e-11,4.610336938060929,True,64,63.99999999687225,3.127524905721657e-09,1.9659409303703026,5.389087661359124
3,1.0,2.5,9.023122845585117e-16,True,4.2330297389433675e-15,3.465175100827381,True,64,64.00000000000045,-6.821210263296962e-13,2.0879833898665,5.2497138499926965
4,-1.0,2.5,9.137566314341003e-16,True,2.023442429907133e-11,6.189046310879555,True,65,64.99929946259522,-0.9992994625954452,2.1655493143779716,5.990594554660056
4,1.0,2.5,9.137566314341003e-16,True,2.1205546608065817e-13,4.114294191187214,True,64,64.00000000000671,-6.934897101018578e-12,2.0440728024739405,5.531966326451233
