trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,1.7714434912013495e-12,True,4.268094128663713e-15,3.3880758653512864,True,36,36.00000003298135,-3.281388671894092e-08,1.8477793716632127,6.441601224171016
0,1.0,2.5,1.7714434912013495e-12,True,7.27493829837591e-12,3.93948525218071,True,36,36.00000000086459,-6.971276889089495e-10,2.2895574274835506,6.481426209459292
1,-1.0,2.5,1.8727673885378665e-12,True,4.566192811342399e-15,2.709212841010268,True,36,36.00000000142745,-1.2599912224686705e-09,2.066004492884092,6.836198866540087
1,1.0,2.5,1.8727673885378665e-12,True,5.137500495924125e-13,2.109782462236544,True,36,36.00000000065597,-4.885123416897841e-10,2.197204442786983,5.258970628674256
2,-1.0,2.5,1.5934547423107707e-12,True,1.2016148732743216e-14,1.5936609035617173,True,36,36.00000000061891,-4.5145043259253725e-10,2.2454545569174167,6.55133026197407
2,1.0,2.5,1.5934547423107707e-12,True,3.0119059998427347e-14,2.4730943725944585,True,36,36.00000007267295,-7.250548605952645e-08,2.336878382242165,6.368879605007711
3,-1.0,2.5,1.1681702926702042e-12,True,6.686715435696847e-15,1.8601635055541526,True,36,36.000000000574346,-4.0688519220566377e-10,2.2598288441327115,5.843405504142133
3,1.0,2.5,1.1681702926702042e-12,True,9.330350334604698e-11,2.5396633743717714,True,36,36.00000000288901,-2.721549208217766e-09,2.119330050417533,6.408168383159704
4,-1.0,2.5,1.7295730404511898e-12,True,4.413374820381031e-15,3.7087566783992174,True,36,36.00000000104387,-8.76411831995938e-10,1.8730019016238788,6.680825845785837
4,1.0,2.5,1.7295730404511898e-12,True,4.8917209614802434e-15,3.4936012161307812,True,36,36.000000000456566,-2.8910562832606956e-10,1.9811013630509846,6.529354402518068
