trial,sign,stage,step,radius,shell_weight,obstruction,constraint_residual,distance_from_home,max_abs_amplitude,accepted,landing,sus_channel,sus_residual,sus_max_abs_amplitude,best_channel,best_amplitude,best_killability,best_death_distance,delete_susceptibility,susceptibility_channel,novelty_from_home,novelty_from_archive,tangent_dim,home_tangent_dim,genericity_tau,home_soft_nullity,candidate_soft_nullity,soft_nullity_gain,correction_norm,branch_score
0,-1.0,0,0,3.125,8.0,8.89258243239754e-16,0.9926077427447196,3.059466810989457,3.7070326749898532,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,50,3.125,8.0,8.89258243239754e-16,0.14865360628198884,3.1208636176313784,3.741662349446124,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,100,3.125,8.0,8.89258243239754e-16,0.06381341319388541,3.1239571046763186,3.7978289131075456,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,150,3.125,8.0,8.89258243239754e-16,0.03091487713379368,3.124550282866207,3.8596616215558504,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,200,3.125,8.0,8.89258243239754e-16,0.017663851435360426,3.1248250340656183,3.8917575283039705,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,250,3.125,8.0,8.89258243239754e-16,0.009327890760535223,3.1249275142422257,3.907716494639396,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,300,3.125,8.0,8.89258243239754e-16,0.009178396733336907,3.1249555174541315,3.9152786970836124,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,349,3.125,8.0,8.89258243239754e-16,0.029091509047530967,3.1249453653426946,3.9189218595519764,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,0,3.125,3.0,8.89258243239754e-16,0.031223743954699474,3.124970905338094,3.919006419346648,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,50,3.125,3.0,8.89258243239754e-16,0.046979986097952696,3.1248589427849587,3.920687107464032,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,100,3.125,3.0,8.89258243239754e-16,0.011527335864093083,3.1249781311395095,3.9214043011269917,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,150,3.125,3.0,8.89258243239754e-16,0.008762675782005567,3.124977434869979,3.9219838616881844,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,200,3.125,3.0,8.89258243239754e-16,0.013085540044843321,3.1248979406358233,3.9211801885016198,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,250,3.125,3.0,8.89258243239754e-16,0.0650351990536872,3.1245088246150052,3.921422814613349,False,relax,,,,,,,,,,,,,,,,,,,
