trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,1.1468948100265879e-15,True,9.321819422066494e-12,5.380517524283895,False,33,32.999999993452775,6.544951247633435e-09,2.185737376449806,8.755454400440144
0,1.0,2.5,1.1468948100265879e-15,True,1.4829786599402627e-13,6.410558329020525,False,33,32.999999999996135,1.5916157281026244e-12,2.430423270318863,8.57468733004114
1,-1.0,2.5,1.0421883542078221e-15,True,2.2743450419573294e-13,3.0935485500232147,False,33,32.99999999999204,5.6843418860808015e-12,2.8133062810291163,8.103802220587292
1,1.0,2.5,1.0421883542078221e-15,True,6.802937602109951e-15,3.650480968490041,False,33,32.99999999999682,9.094947017729282e-13,2.2748673482287862,8.362090322181505
2,-1.0,2.5,1.046455004245461e-15,True,5.584702308943971e-12,3.4143528433660033,False,33,32.99999999964837,3.4935965231852606e-10,2.851384136257592,8.358092708718587
2,1.0,2.5,1.046455004245461e-15,True,6.11407437332369e-15,3.4331949269750193,False,33,32.9999999999967,1.0231815394945443e-12,2.520318648713987,8.279032580526296
3,-1.0,2.5,1.143651247516452e-15,True,5.2374249566661685e-14,2.330878261512663,True,33,32.99999999999818,-4.547473508864641e-13,2.2964844247943548,7.99276119462812
3,1.0,2.5,1.143651247516452e-15,True,6.7439885663555885e-15,2.0252347348762485,False,33,32.9999999999975,2.2737367544323206e-13,2.5304412747267833,8.174088721141967
4,-1.0,2.5,1.0917375638562048e-15,True,8.47762687139711e-12,6.182138210595484,False,33,32.99999999837269,1.6250396583927795e-09,2.8128844409280376,8.379941747991142
4,1.0,2.5,1.0917375638562048e-15,True,5.6610689006576786e-15,4.701605874262549,False,34,34.00000000000614,-1.0000000000084128,2.9396988473024352,8.247440069721286
