trial,sign,stage,step,radius,shell_weight,obstruction,constraint_residual,distance_from_home,max_abs_amplitude,accepted,landing,sus_channel,sus_residual,sus_max_abs_amplitude,best_channel,best_amplitude,best_killability,best_death_distance,delete_susceptibility,susceptibility_channel,novelty_from_home,novelty_from_archive,tangent_dim,home_tangent_dim,genericity_tau,home_soft_nullity,candidate_soft_nullity,soft_nullity_gain,correction_norm,branch_score
0,-1.0,0,0,3.125,8.0,0.0010304355872272452,1.48533941605622,3.115412207585036,6.421908969861638,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,50,3.125,8.0,0.0010304355872272452,0.09966428005781398,3.125502839039452,6.459967532618765,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,100,3.125,8.0,0.0010304355872272452,0.03760459690083561,3.1249630359070655,6.472929074372905,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,150,3.125,8.0,0.0010304355872272452,0.02464691598980358,3.1249070115747135,6.470623041343447,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,200,3.125,8.0,0.0010304355872272452,0.019508038406167157,3.124936763986416,6.467380669066021,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,250,3.125,8.0,0.0010304355872272452,0.019596188748191797,3.1249340243976444,6.465868769517952,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,300,3.125,8.0,0.0010304355872272452,0.023845194473498203,3.1249727398926286,6.465589581136901,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,349,3.125,8.0,0.0010304355872272452,0.018705437980684046,3.1249670595000136,6.465876442067446,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,0,3.125,3.0,0.0010304355872272452,0.020087141761096616,3.1249583655806767,6.465927283566857,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,50,3.125,3.0,0.0010304355872272452,0.016596517408408656,3.1249043638038807,6.465375093014799,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,100,3.125,3.0,0.0010304355872272452,0.027858653067787634,3.124911919722685,6.4637657836289835,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,150,3.125,3.0,0.0010304355872272452,0.05531913455777076,3.125084851126438,6.464237113819776,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,200,3.125,3.0,0.0010304355872272452,0.020099344504291076,3.1248863819564012,6.461074101070262,False,relax,,,,,,,,,,,,,,,,,,,
