generation,rank,basin_id,parent_id,roles,expansion_count,soft_nullity,susceptibility,death_distance,source
0,23,0,-1,genericity+deletion+death,1,35.99999999999477,1.0018539279314,2.692178115436985,initial
1,23,12,0,genericity,1,35.99999999999363,1.001378470847624,2.6673949004243207,exact_hop
1,23,16,0,deletion,1,35.99999999999409,0.7239976842632756,2.734217884959475,off_manifold_hop
1,23,15,0,death,1,35.999999999993975,1.0003292094991079,2.0448401726424352,off_manifold_hop
2,23,47,16,genericity,1,33.443946818475865,1.006953949897056,2.783802154230742,off_manifold_hop
2,23,60,15,deletion+death,1,35.99999999999375,0.6580842084781869,1.9814100715435976,exact_hop
2,23,61,15,explore,1,35.99999999999363,1.0007281689023029,2.0366498790103846,exact_hop
3,23,47,16,genericity,2,33.44394682758116,1.006953949897056,2.7838021896584397,off_manifold_hop
3,23,92,60,deletion,1,35.99999999999409,0.6210959641654885,2.2504810508009188,wall:continuation_stalled
3,23,106,61,death,1,35.999999999993406,1.001110669283729,1.9591837151765743,exact_hop
3,23,0,-1,explore,2,35.999999999995,1.0018539279314,2.6921781154105506,initial
4,23,123,47,genericity,1,34.08755674782583,0.7276492389425103,2.784835515960509,off_manifold_hop
4,23,138,92,deletion,1,35.99999999999386,0.6005724732892378,2.8661276328295346,wall:amplitude_wall
4,23,106,61,death,2,35.99999999999318,1.001110669283729,1.9591837151765716,exact_hop
5,23,184,123,genericity,1,32.99999999999477,1.0047073732705833,2.727870321958941,off_manifold_hop
5,23,197,138,deletion,1,35.999999999992724,0.5087963588372837,3.0246159252309974,wall:amplitude_wall
5,23,198,138,death,1,35.99999999999284,0.5908958463244751,1.8679501767403783,exact_hop
6,23,226,184,genericity,1,32.08204091540256,1.0025120766664246,2.727946329729137,exact_hop
6,23,197,138,deletion,2,35.99999999999238,0.5087963588372837,3.024615925231,wall:amplitude_wall
6,23,257,198,death,1,35.99999999999318,1.0004747436553942,1.8506427004897754,exact_hop
6,23,0,-1,explore,3,35.999999999995,1.0018539279314,2.692178115410553,initial
7,23,274,226,genericity,1,32.091601358384196,1.0054377078666055,2.8525336914244326,off_manifold_hop
7,23,197,138,deletion,3,35.99999999999284,0.5087963588372837,3.0246159252309965,wall:amplitude_wall
7,23,305,257,death,1,35.99999999999227,0.9061158304694387,1.8145114640600937,off_manifold_hop
8,23,335,274,genericity,1,32.34021646892825,1.0070555857448333,2.864200705375957,off_manifold_hop
8,23,197,138,deletion,4,35.999999999992724,0.5087963588372837,3.024615925231,wall:amplitude_wall
8,23,305,257,death,2,35.999999999991815,0.9061158304694387,1.814511464060094,off_manifold_hop
9,23,381,335,genericity,1,34.982857244570255,1.0079256910495917,2.5690657136907245,off_manifold_hop
9,23,197,138,deletion,5,35.999999999992724,0.5087963588372837,3.0246159252309948,wall:amplitude_wall
9,23,305,257,death,3,35.99999999999227,0.9061158304694387,1.8145114640600917,off_manifold_hop
9,23,0,-1,explore,4,35.999999999995,1.0018539279314,2.692178115410553,initial
10,23,381,335,genericity,2,34.982857238020415,1.0079256910495917,2.5690657135669475,off_manifold_hop
10,23,197,138,deletion,6,35.999999999992724,0.5087963588372837,3.024615925231,wall:amplitude_wall
10,23,305,257,death,4,35.99999999999261,0.9061158304694387,1.814511464060095,off_manifold_hop
11,23,381,335,genericity,3,34.982857245367086,1.0079256910495917,2.569065713447134,off_manifold_hop
11,23,197,138,deletion,7,35.999999999992724,0.5087963588372837,3.0246159252309948,wall:amplitude_wall
11,23,514,305,death,1,35.99999999999204,0.7775265381032346,1.799459903006935,exact_hop
12,23,381,335,genericity,4,34.982857242847786,1.0079256910495917,2.5690657138171087,off_manifold_hop
12,23,197,138,deletion,8,35.999999999992724,0.5087963588372837,3.024615925231,wall:amplitude_wall
12,23,514,305,death,2,35.99999999999193,0.7775265381032346,1.799459903006937,exact_hop
12,23,0,-1,explore,5,35.999999999995,1.0018539279314,2.692178115410553,initial
13,23,381,335,genericity,5,34.982857245367086,1.0079256910495917,2.569065713447134,off_manifold_hop
13,23,197,138,deletion,9,35.999999999992724,0.5087963588372837,3.0246159252309948,wall:amplitude_wall
13,23,514,305,death,3,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
14,23,381,335,genericity,6,34.982857242847786,1.0079256910495917,2.5690657138171087,off_manifold_hop
14,23,197,138,deletion,10,35.999999999992724,0.5087963588372837,3.024615925231,wall:amplitude_wall
14,23,514,305,death,4,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
15,23,681,381,genericity,1,33.37746465889427,1.0013369421998963,2.8381226048031674,off_manifold_hop
15,23,197,138,deletion,11,35.999999999992724,0.5087963588372837,3.0246159252309948,wall:amplitude_wall
15,23,514,305,death,5,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
15,23,0,-1,explore,6,35.999999999995,1.0018539279314,2.692178115410553,initial
16,23,681,381,genericity,2,33.37746464924885,1.0013369421998963,2.8381223157153617,off_manifold_hop
16,23,197,138,deletion,12,35.999999999992724,0.5087963588372837,3.024615925231,wall:amplitude_wall
16,23,514,305,death,6,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
17,23,681,381,genericity,3,33.3774646577898,1.0013369421998963,2.8381227225419616,off_manifold_hop
17,23,197,138,deletion,13,35.999999999992724,0.5087963588372837,3.0246159252309948,wall:amplitude_wall
17,23,514,305,death,7,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
18,23,681,381,genericity,4,33.377464635310844,1.0013369421998963,2.8381224754512893,off_manifold_hop
18,23,197,138,deletion,14,35.999999999992724,0.5087963588372837,3.024615925231,wall:amplitude_wall
18,23,514,305,death,8,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
18,23,0,-1,explore,7,35.999999999995,1.0018539279314,2.692178115410553,initial
19,23,681,381,genericity,5,33.3774646195734,1.0013369421998963,2.8381223507385673,off_manifold_hop
19,23,197,138,deletion,15,35.999999999992724,0.5087963588372837,3.0246159252309948,wall:amplitude_wall
19,23,514,305,death,9,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
20,23,940,681,genericity,1,33.34883887738158,1.0035522352306436,2.7828574907750134,off_manifold_hop
20,23,197,138,deletion,16,35.999999999992724,0.5087963588372837,3.024615925231,wall:amplitude_wall
20,23,514,305,death,10,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
21,23,940,681,genericity,2,33.34883890054857,1.0035522352306436,2.782857482843912,off_manifold_hop
21,23,197,138,deletion,17,35.999999999992724,0.5087963588372837,3.0246159252309948,wall:amplitude_wall
21,23,514,305,death,11,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
21,23,0,-1,explore,8,35.999999999995,1.0018539279314,2.692178115410553,initial
22,23,1028,940,genericity,1,32.71402380987092,1.0197963982115383,3.368615826164451,exact_hop
22,23,197,138,deletion,18,35.999999999992724,0.5087963588372837,3.024615925231,wall:amplitude_wall
22,23,514,305,death,12,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
23,23,1092,1028,genericity,1,32.13828970538793,1.0117272250650358,3.3693211230694695,off_manifold_hop
23,23,197,138,deletion,19,35.999999999992724,0.5087963588372837,3.0246159252309948,wall:amplitude_wall
23,23,514,305,death,13,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
24,23,1092,1028,genericity,2,32.13828968571079,1.0117272250650358,3.36932111583519,off_manifold_hop
24,23,197,138,deletion,20,35.999999999992724,0.5087963588372837,3.024615925231,wall:amplitude_wall
24,23,514,305,death,14,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
24,23,0,-1,explore,9,35.999999999995,1.0018539279314,2.692178115410553,initial
25,23,1092,1028,genericity,3,32.138289660790065,1.0117272250650358,3.369321121365328,off_manifold_hop
25,23,197,138,deletion,21,35.999999999992724,0.5087963588372837,3.0246159252309948,wall:amplitude_wall
25,23,514,305,death,15,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
26,23,1243,1092,genericity,1,33.007538699436736,1.0044212584935746,2.9791125626276966,off_manifold_hop
26,23,197,138,deletion,22,35.999999999992724,0.5087963588372837,3.024615925231,wall:amplitude_wall
26,23,514,305,death,16,35.99999999999159,0.7775265381032346,1.7994599030069371,exact_hop
27,23,1287,1243,genericity,1,33.54104202947326,1.0076066508165136,2.740057314579316,off_manifold_hop
