trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,3.3097029582236643e-15,True,4.052311185858416e-15,1.7581756447186396,True,36,35.99999999999977,-3.410605131648481e-13,2.2629800624999277,4.8900835479719404
0,1.0,2.5,3.3097029582236643e-15,True,5.653349319034265e-13,2.4618212686986287,True,36,35.99999999999659,2.8421709430404007e-12,2.0883313132514885,5.2819533133956185
1,-1.0,2.5,1.8282767937849436e-15,True,1.1868348529088851e-12,3.1356335222138165,True,36,35.99999999996783,3.1604940886609256e-11,2.2772696088589446,5.214046785625561
1,1.0,2.5,1.8282767937849436e-15,True,4.261238037170186e-15,2.520264568854008,True,36,35.99999999999977,-3.410605131648481e-13,2.593143953919467,5.33321504712104
2,-1.0,2.5,2.0653837531780423e-15,True,4.259762204813379e-15,2.90050206572079,True,36,35.99999999999977,-3.410605131648481e-13,2.1741545250306915,5.265772025345549
2,1.0,2.5,2.0653837531780423e-15,True,4.075037146551405e-15,2.9913087321539185,True,36,35.99999999999977,-3.410605131648481e-13,2.333076912114132,5.033354175243611
3,-1.0,2.5,1.8738118484495744e-15,True,2.4152135817079396e-11,3.1130366608068267,True,36,35.9999999980306,1.9688286556629464e-09,2.1372001920929966,5.661252911815921
3,1.0,2.5,1.8738118484495744e-15,True,7.612270971251903e-14,3.954420239105368,True,36,35.99999999999943,0.0,2.482998606197173,4.939223104364153
4,-1.0,2.5,1.982586722889666e-15,True,4.0324404503922055e-15,2.113698356123636,True,36,36.0,-5.684341886080801e-13,2.524753363101817,5.086235663765964
4,1.0,2.5,1.982586722889666e-15,True,4.69860275063487e-15,2.236251211827449,True,36,35.99999999999977,-3.410605131648481e-13,2.009986726236568,5.5224264465517265
