trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,1.6570422550720297e-15,True,1.0417726459867691e-14,2.41991681656503,True,35,35.00000000000159,-3.979039320256561e-12,2.6484135366021495,4.211539950049527
0,1.0,2.5,1.6570422550720297e-15,True,4.1652399389961234e-12,3.0762874774376385,True,35,34.999999998718636,1.2789769243681803e-09,2.882490448243445,4.530985398602597
1,-1.0,2.5,1.6223057562735101e-15,True,6.34356978922104e-11,1.8754938129636158,True,35,34.999999981161864,1.8835748960555065e-08,2.796876449821493,4.231395582099274
1,1.0,2.5,1.6223057562735101e-15,True,2.0211916831256603e-13,2.445570925748736,True,35,34.999999999998295,-6.821210263296962e-13,2.547005396677941,4.871640249715001
2,-1.0,2.5,1.84677007934205e-15,True,3.887304047555549e-11,2.106682085744138,True,35,34.99999995003975,4.995786184736062e-08,2.8222162768643497,4.54612172393347
2,1.0,2.5,1.84677007934205e-15,True,3.3277715142496696e-15,2.7751026491834843,True,35,35.00000000001023,-1.261923898709938e-11,2.7215682496149562,3.984528545233974
3,-1.0,2.5,1.8836155600028585e-15,True,2.4853499338287827e-12,2.966817613275796,True,35,34.99999999991303,8.458300726488233e-11,2.7707457193482274,4.244540862950135
3,1.0,2.5,1.8836155600028585e-15,True,3.187095875069253e-12,3.7432414196465613,True,35,34.99999999961983,3.7778136174893007e-10,2.50086851508349,4.014715059256331
4,-1.0,2.5,1.9669018590895675e-15,True,3.71532616715036e-13,3.8307844989767084,True,35,34.99999999998613,1.1482370609883219e-11,2.8729190552316863,4.3627375477748105
4,1.0,2.5,1.9669018590895675e-15,True,3.985369910226255e-15,3.427809159502619,True,35,34.99999999999943,-1.8189894035458565e-12,2.660078602018385,4.176359566011025
