iteration,channel,amplitude,killability,residual,jacobian_rank,tangent_dim,sigma_min_positive,max_abs_amplitude,amp_step
0,12,1.9750060309264903,0.7336089761747822,2.736852757502147e-15,608,36,0.005367154500217968,3.5719321936926973,0.05
1,12,1.9250060309264903,0.7186780728928431,1.199240237832046e-12,608,36,0.00398211274817498,3.5724723775010148,0.05
2,12,1.8750060309264902,0.7014759284012255,1.5039660644139278e-12,608,36,0.0027304708329482052,3.5733781013862256,0.05
3,12,1.8250060309264902,0.6817904818022007,1.1370314067197132e-12,608,36,0.0016330876976498026,3.574781684510566,0.05
4,12,1.7750060309264901,0.6594230439642775,1.0684047995511539e-12,608,36,0.00071428164735047,3.5768077749353644,0.05
5,12,1.72500603092649,0.6341997557800162,4.691128529164218e-14,608,36,2.765908013734113e-06,3.5795272192744925,0.05
6,12,1.67500603092649,0.6059858079142678,3.721978070133174e-12,608,36,0.0004668832306629279,3.582966324651731,0.05
7,12,1.62500603092649,0.57469872514722,2.6635792178055294e-12,608,36,0.0006528023039478524,3.5871511069421795,0.05
8,12,1.57500603092649,0.5403226111667613,4.5154071317467484e-12,608,36,0.0005028683421341431,3.592170517156363,0.05
9,12,1.52500603092649,0.5029195995980358,3.1654160563445168e-15,608,36,4.8499650554309923e-05,3.5981892899499797,0.05
10,12,1.4750060309264899,0.46263813475393256,1.2778601972260127e-11,608,36,0.0010834828059379327,3.6054569682960493,0.05
11,12,1.4250060309264898,0.4197160156732502,2.730578240732587e-11,608,36,0.002707653969269068,3.6143172593301265,0.05
12,12,1.3750060309264898,0.3744786671906113,6.875694060794768e-11,608,36,0.005055752700555962,3.6252556737157784,0.05
13,12,1.3250060309264897,0.3273338177107471,2.8719557177883557e-15,608,36,0.008303980386920077,3.6389663844315923,0.05
14,12,1.2750060309264897,0.2787661311916592,2.9463118736513815e-15,608,36,0.012700450001524612,3.6678917634570283,0.05
15,12,1.2250060309264896,0.22933911970298593,3.110281750069702e-15,608,36,0.01863041521752948,3.7555281542567736,0.05
16,12,1.1750060309264896,0.17972526176023598,2.92510917966705e-15,608,36,0.026710629731761904,3.872264032375552,0.05
17,12,1.1250060309264895,0.1308378383866969,5.467865520990203e-15,608,36,0.037925518560215,4.038290884651337,0.05
18,12,1.0750060309264895,0.08415525416074254,5.384963438553175e-13,608,36,0.02869616247814229,4.304025799211798,0.05
19,12,1.03,0.04326076311832026,3.346540388724861e-15,608,36,0.02092995487642806,4.748140224698702,0.05
