r,s,projected_gradient_norm,collision_value,sign_u,sign_v,sign_w,amp_r,amp_s
0,6,0.6666666666666669,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
10,12,0.6666666666666669,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
17,18,0.6666666666666669,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
0,3,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
1,4,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
1,7,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
2,5,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
2,9,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
2,14,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
3,10,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
4,5,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
4,16,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
5,12,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
8,13,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
10,15,0.6666666666666667,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
11,12,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
12,13,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
0,1,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
2,8,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
3,6,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
4,11,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
5,8,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
7,8,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
8,18,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
9,14,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
10,11,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
12,17,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
14,18,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
15,17,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
0,2,0.6666666666666665,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
1,2,0.6666666666666665,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
3,5,0.6666666666666665,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
4,7,0.6666666666666665,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
6,7,0.6666666666666665,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
6,8,0.6666666666666665,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
9,12,0.6666666666666665,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
9,13,0.6666666666666665,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
11,16,0.6666666666666665,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
13,18,0.6666666666666665,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
14,17,0.6666666666666665,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
15,16,0.6666666666666665,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
3,4,0.6666666666666664,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
3,15,0.6666666666666664,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
16,17,0.6666666666666664,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
5,17,0.6666666666666663,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
7,22,0.6341718324267314,-0.3333333333333333,-1.0,-1.0,1.0,1.0,2.0
18,25,0.6341718324267314,-0.3333333333333333,-1.0,-1.0,1.0,1.0,2.0
0,23,0.6341718324267313,-0.3333333333333333,1.0,-1.0,-1.0,1.0,2.0
9,20,0.6341718324267313,-0.3333333333333333,-1.0,1.0,-1.0,1.0,2.0
10,21,0.6341718324267313,-0.3333333333333333,-1.0,1.0,-1.0,1.0,2.0
16,24,0.6341718324267311,-0.3333333333333333,-1.0,1.0,-1.0,1.0,2.0
11,20,0.5546975779047737,-0.2357022603955158,1.0,-1.0,-1.0,1.0,2.0
13,21,0.5546975779047737,-0.2357022603955158,-1.0,1.0,-1.0,1.0,2.0
1,20,0.5546975779047736,-0.2357022603955158,-1.0,-1.0,1.0,1.0,2.0
6,25,0.5546975779047736,-0.2357022603955158,1.0,-1.0,-1.0,1.0,2.0
11,22,0.5546975779047736,-0.2357022603955158,1.0,-1.0,-1.0,1.0,2.0
13,22,0.5546975779047736,-0.2357022603955158,-1.0,1.0,-1.0,1.0,2.0
14,24,0.5546975779047736,-0.2357022603955158,-1.0,-1.0,1.0,1.0,2.0
15,25,0.5546975779047736,-0.2357022603955158,1.0,-1.0,-1.0,1.0,2.0
1,24,0.5546975779047735,-0.2357022603955158,-1.0,-1.0,1.0,1.0,2.0
14,23,0.5546975779047735,-0.2357022603955158,-1.0,-1.0,1.0,1.0,2.0
15,23,0.5546975779047735,-0.2357022603955158,-1.0,1.0,-1.0,1.0,2.0
6,21,0.5546975779047734,-0.2357022603955158,-1.0,-1.0,1.0,1.0,2.0
10,17,0.47140452079103196,0.0,-1.0,-1.0,1.0,1.0,1.0
3,17,0.4714045207910319,0.0,1.0,1.0,1.0,1.0,1.0
5,11,0.4714045207910319,0.0,-1.0,-1.0,1.0,1.0,1.0
10,16,0.4714045207910319,0.0,1.0,1.0,1.0,1.0,1.0
11,15,0.4714045207910319,0.0,-1.0,-1.0,1.0,1.0,1.0
12,15,0.4714045207910319,0.0,-1.0,-1.0,1.0,1.0,1.0
0,7,0.47140452079103184,0.0,1.0,-1.0,-1.0,1.0,1.0
1,3,0.47140452079103184,0.0,-1.0,-1.0,1.0,1.0,1.0
2,3,0.47140452079103184,0.0,-1.0,-1.0,1.0,1.0,1.0
2,13,0.47140452079103184,0.0,-1.0,-1.0,1.0,1.0,1.0
3,8,0.47140452079103184,0.0,1.0,-1.0,-1.0,1.0,1.0
3,11,0.47140452079103184,0.0,1.0,1.0,1.0,1.0,1.0
5,16,0.47140452079103184,0.0,1.0,1.0,1.0,1.0,1.0
8,9,0.47140452079103184,0.0,-1.0,-1.0,1.0,1.0,1.0
8,12,0.47140452079103184,0.0,1.0,-1.0,-1.0,1.0,1.0
8,14,0.47140452079103184,0.0,-1.0,1.0,-1.0,1.0,1.0
12,18,0.47140452079103184,0.0,1.0,1.0,1.0,1.0,1.0
13,14,0.47140452079103184,0.0,1.0,-1.0,-1.0,1.0,1.0
4,8,0.4714045207910318,0.0,1.0,1.0,1.0,1.0,1.0
0,5,0.47140452079103173,0.0,-1.0,-1.0,1.0,1.0,1.0
2,6,0.47140452079103173,0.0,-1.0,-1.0,1.0,1.0,1.0
2,7,0.47140452079103173,0.0,1.0,1.0,1.0,1.0,1.0
2,18,0.47140452079103173,0.0,-1.0,-1.0,1.0,1.0,1.0
3,7,0.47140452079103173,0.0,1.0,-1.0,-1.0,1.0,1.0
3,12,0.47140452079103173,0.0,-1.0,-1.0,1.0,1.0,1.0
3,16,0.47140452079103173,0.0,-1.0,-1.0,1.0,1.0,1.0
4,15,0.47140452079103173,0.0,-1.0,1.0,-1.0,1.0,1.0
5,6,0.47140452079103173,0.0,1.0,-1.0,-1.0,1.0,1.0
5,7,0.47140452079103173,0.0,1.0,-1.0,-1.0,1.0,1.0
5,10,0.47140452079103173,0.0,-1.0,-1.0,1.0,1.0,1.0
8,17,0.47140452079103173,0.0,-1.0,1.0,-1.0,1.0,1.0
11,17,0.47140452079103173,0.0,-1.0,1.0,-1.0,1.0,1.0
0,8,0.4714045207910317,0.0,-1.0,1.0,-1.0,1.0,1.0
