iteration,channel,amplitude,killability,residual,jacobian_rank,tangent_dim,sigma_min_positive,max_abs_amplitude,amp_step
0,25,2.0,0.7354894897895579,6.280369834735101e-16,593,135,0.22893011754779072,2.8284271247461903,0.05
1,25,1.95,0.7242177262036634,2.6287265870287053e-14,605,123,0.0027879291050820917,2.82963955001749,0.05
2,25,1.9,0.7113172073052364,3.430060710926367e-14,605,123,0.005473080497404821,2.8334008947412626,0.05
3,25,1.8499999999999999,0.6966648760462475,4.707927420273522e-14,605,123,0.008015989734156475,2.8399075463330505,0.05
4,25,1.7999999999999998,0.6801527644079853,6.594455484608814e-14,605,123,0.010370752608715969,2.8493708035967793,0.05
5,25,1.7499999999999998,0.6616924037801766,9.416897586725151e-14,605,123,0.012484230433943064,2.862018973922985,0.05
6,25,1.6999999999999997,0.6412174472994988,1.376089484519335e-13,605,123,0.014295144190075208,2.8781005671683957,0.05
7,25,1.6499999999999997,0.6186833493478882,2.1239992558194652e-13,605,123,0.015733010532698686,2.8978892593366825,0.05
8,25,1.5999999999999996,0.5940628912183308,3.5272304040761864e-13,605,123,0.01671683031603147,2.9216916867904774,0.05
9,25,1.5499999999999996,0.5673363153581199,6.40543776297043e-13,605,123,0.017153391916228083,2.9498598209725415,0.05
10,25,1.4999999999999996,0.5384747297427803,1.2474581582884236e-12,605,123,0.016934959362700737,2.982810876598697,0.05
11,25,1.4499999999999995,0.5074149677570237,2.656460595765281e-12,605,123,0.015935962267919383,3.02105999370497,0.05
12,25,1.3999999999999995,0.4740227561907753,6.3651113301323836e-12,605,123,0.014008002326888449,3.065275409813559,0.05
13,25,1.3499999999999994,0.4380378181538256,1.746526967525255e-11,605,123,0.010971924532544655,3.1163753806846892,0.05
14,25,1.2999999999999994,0.3989872249560181,5.6068455034601844e-11,605,123,0.0066045969397382906,3.1757081428831,0.05
15,25,1.2499999999999993,0.3560363599304709,1.2816258232904387e-15,605,123,0.0006158229002647658,3.2454128357672443,0.05
16,25,1.1999999999999993,0.3077046426931616,1.3261913265138552e-15,605,123,0.0073934803791735,3.3292273118672595,0.05
17,25,1.1499999999999992,0.25125861964776697,1.3554310508027246e-15,605,123,0.018006404370783224,3.434615701791731,0.05
18,25,1.0999999999999992,0.18129302664415217,6.192921813681887e-15,605,123,0.032082791565992426,3.580022434866448,0.05
19,25,1.0499999999999992,0.0881953674656233,4.525842225746818e-11,605,123,0.05003475885226791,3.8347744418394956,0.05
20,25,1.03,0.052882996783457634,8.084646544940106e-13,605,123,0.05908045135414897,4.0471175300638205,0.025999999999998868
