iteration,channel,amplitude,killability,residual,jacobian_rank,tangent_dim,sigma_min_positive,max_abs_amplitude,amp_step
0,21,1.9716058575318358,0.6720021870834708,5.929888439328733e-14,615,29,1.894775868862801e-09,4.845349853921729,0.05
1,21,1.9466058575318357,0.6650919287012041,6.345075554160199e-12,611,33,5.67931945218578e-08,4.842869149908268,0.03250000000000003
2,21,1.9141058575318357,0.6558121884903287,1.4686362776118243e-11,611,33,7.715056379473186e-06,4.839600582474518,0.04224999999999997
3,21,1.8718558575318358,0.6392771081433307,8.995902236691802e-12,611,33,0.00030102170599795785,4.835178352179312,0.05
4,21,1.8218558575318358,0.6174198376276189,1.1445457991438539e-11,611,33,0.000618318121767764,4.829776281171592,0.05
5,21,1.7718558575318357,0.5929122422071547,7.550736581585825e-12,611,33,0.0009152137752388838,4.8240779016972954,0.05
6,21,1.7218558575318357,0.5656190100674096,5.728921891404189e-12,611,33,0.001192365430709021,4.818022171963102,0.05
7,21,1.6718558575318356,0.5354763175251301,4.740494194356364e-12,611,33,0.0014442804523572663,4.811538098935946,0.05
8,21,1.6218558575318356,0.5025138537252957,5.2767134412040655e-12,611,33,0.0016616472964099537,4.804542289738929,0.05
9,21,1.5718558575318355,0.4668724121869645,8.878876932117899e-12,611,33,0.0018334182691419748,4.796937536023563,0.05
10,21,1.5218558575318355,0.428811897894294,2.141026126771691e-11,611,33,0.001949121922340486,4.788615955104776,0.05
11,21,1.4718558575318355,0.3887527655586061,3.1523220078771216e-15,611,33,0.0019642920889879367,4.779238078732179,0.05
12,21,1.4218558575318354,0.34712617299199117,3.3329087735194696e-11,611,33,0.0018956566982995158,4.768955387063516,0.05
13,21,1.3718558575318354,0.3045362486121909,7.882859169386408e-11,611,33,0.0017079658124243308,4.757415010734074,0.05
14,21,1.3218558575318353,0.2616464907611796,3.3467450566053042e-15,611,33,0.0013671329320163424,4.7442572466247475,0.05
15,21,1.2718558575318353,0.2191888267095669,3.2617671897192285e-15,611,33,0.0008338376096733578,4.728974331772432,0.05
16,21,1.2218558575318352,0.17795734777493544,2.9859371057717667e-12,611,33,6.499174812770379e-05,4.710932491424647,0.05
17,21,1.1718558575318352,0.13872340256608306,3.378079113888587e-15,611,33,0.0009126222796583301,4.689796974278549,0.05
18,21,1.1218558575318351,0.1018417951897967,5.513089466924129e-15,611,33,0.001923261744670781,4.66681023894281,0.05
19,21,1.071855857531835,0.06635808737804938,2.839357306293493e-13,611,33,0.0023073070368894236,4.647159426151077,0.05
20,21,1.03,0.03540593937108171,2.7165649556182964e-14,611,33,0.00044576662523575656,4.974839515098243,0.05
