generation,rank,basin_id,parent_id,roles,expansion_count,soft_nullity,susceptibility,death_distance,source
0,23,0,-1,genericity+deletion+death,1,32.2859786218188,1.008852926924446,2.8199660522042076,initial
1,23,0,-1,genericity,2,32.285978682256996,1.008852926924446,2.8199660446637447,initial
1,23,16,0,deletion,1,35.99999999990314,1.0040026927264958,2.685812467923776,off_manifold_hop
1,23,15,0,death,1,36.99999999991405,1.0040597672228164,2.5153869385242746,off_manifold_hop
2,23,0,-1,genericity,3,32.28597856571719,1.008852926924446,2.819966079828267,initial
2,23,32,0,deletion,1,34.999999999925194,0.9498209958775282,2.551722487475727,off_manifold_hop
2,23,58,15,death,1,36.99999999990712,1.0015737132351745,2.373972522857234,exact_hop
3,23,76,0,genericity+deletion,1,30.66036239866071,0.7927290233291829,2.925282893769979,off_manifold_hop
3,23,105,58,death,1,36.99999999990507,1.0006968741386315,1.954403834472427,exact_hop
3,23,32,0,explore,2,34.999999999925194,0.9498209958775282,2.551722487475727,off_manifold_hop
3,23,0,-1,explore,4,32.285978656131874,1.008852926924446,2.819966048121454,initial
4,23,121,76,genericity+deletion,1,29.29062332564081,0.5521196236510008,2.933927736626843,off_manifold_hop
4,23,105,58,death,2,36.99999999990416,1.0006968741386315,1.9544038344724286,exact_hop
4,23,76,0,explore,2,30.660362458210216,0.7927290233291829,2.9252828785086566,off_manifold_hop
5,23,121,76,genericity+deletion,2,29.290623339637705,0.5521196236510008,2.933927738192746,off_manifold_hop
5,23,196,105,death,1,36.999999999888246,1.0013780249147082,1.9452593433855543,exact_hop
5,23,210,76,explore,1,29.78053324450866,1.010327610779549,3.350959860524007,exact_hop
6,23,121,76,genericity+deletion,3,29.290623358149332,0.5521196236510008,2.933927745340603,off_manifold_hop
6,23,240,196,death,1,36.99999999988643,1.0009897764447617,1.9387039926753455,exact_hop
6,23,227,121,explore,1,34.999999999919964,0.645204256673736,2.459332600309055,off_manifold_hop
6,23,0,-1,explore,5,32.28597856887927,1.008852926924446,2.8199660897282604,initial
7,23,121,76,genericity+deletion,4,29.290623343128686,0.5521196236510008,2.933927742994649,off_manifold_hop
7,23,286,240,death,1,36.99999999987085,1.0004295624685722,1.8536507133786526,exact_hop
7,23,272,121,explore,1,30.365291432965478,0.5865323386927853,2.913412851046041,off_manifold_hop
8,23,121,76,genericity+deletion,5,29.290623311305353,0.5521196236510008,2.9339277392663283,off_manifold_hop
8,23,286,240,death,2,36.999999999881084,1.0004295624685722,1.8536507133786553,exact_hop
8,23,333,121,explore,1,35.99999999990155,0.5839894766119041,2.7686097601423696,off_manifold_hop
9,23,121,76,genericity+deletion,6,29.290623361981034,0.5521196236510008,2.933927738662012,off_manifold_hop
9,23,392,286,death,1,36.999999999859256,1.0007322562079772,1.8498603149140278,exact_hop
9,23,333,121,explore,2,35.99999999990098,0.5839894766119041,2.768609760142365,off_manifold_hop
9,23,0,-1,explore,6,32.28597870388421,1.008852926924446,2.819966006835634,initial
