trial,sign,stage,step,radius,shell_weight,obstruction,constraint_residual,distance_from_home,max_abs_amplitude,accepted,landing,sus_channel,sus_residual,sus_max_abs_amplitude,best_channel,best_amplitude,best_killability,best_death_distance,delete_susceptibility,susceptibility_channel,novelty_from_home,novelty_from_archive,tangent_dim,home_tangent_dim,genericity_tau,home_soft_nullity,candidate_soft_nullity,soft_nullity_gain,correction_norm,branch_score
0,-1.0,0,0,3.125,8.0,1.3960876788265714e-15,1.133471270372893,3.07136216191569,4.871886312254143,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,50,3.125,8.0,1.3960876788265714e-15,0.0932355592331704,3.124298868015455,4.869466892854328,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,100,3.125,8.0,1.3960876788265714e-15,0.022366671074599276,3.124933360045461,4.886214561833682,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,150,3.125,8.0,1.3960876788265714e-15,0.013134850146588144,3.1249368232190333,4.892155272779843,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,200,3.125,8.0,1.3960876788265714e-15,0.010043255911723085,3.1249588737365404,4.895826309494835,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,250,3.125,8.0,1.3960876788265714e-15,0.007991219929127552,3.1249711582970727,4.899316972472168,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,300,3.125,8.0,1.3960876788265714e-15,0.019365842680647817,3.12501483760417,4.899172559899282,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,349,3.125,8.0,1.3960876788265714e-15,0.0056891416114492575,3.1249880253484994,4.900621019421018,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,0,3.125,3.0,1.3960876788265714e-15,0.005708552197309476,3.1249764697675952,4.900648759843223,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,50,3.125,3.0,1.3960876788265714e-15,0.041452361036788,3.125082659449543,4.899462838708042,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,100,3.125,3.0,1.3960876788265714e-15,0.004664981491315211,3.1249782779928394,4.8983609285978655,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,150,3.125,3.0,1.3960876788265714e-15,0.012125593397216904,3.1249563922227868,4.894234051850372,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,200,3.125,3.0,1.3960876788265714e-15,0.04126570996236407,3.1249642176305894,4.892479866019604,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,250,3.125,3.0,1.3960876788265714e-15,0.008555150845906403,3.1249655239241645,4.886731015930561,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,300,3.125,3.0,1.3960876788265714e-15,0.016239078040769822,3.1249263043094238,4.878850062571273,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,349,3.125,3.0,1.3960876788265714e-15,0.046056965892129036,3.124943380022782,4.876517467561852,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,0,3.125,1.0,1.3960876788265714e-15,0.05646612424701322,3.1249977401687685,4.876503634438507,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,50,3.125,1.0,1.3960876788265714e-15,0.011082657475821453,3.1250179002832317,4.8689479698901,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,100,3.125,1.0,1.3960876788265714e-15,0.04594698184194051,3.1237214936063493,4.861942889231841,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,150,3.125,1.0,1.3960876788265714e-15,0.004805252000903159,3.124954514531291,4.854556156937203,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,200,3.125,1.0,1.3960876788265714e-15,0.028417251590328513,3.1247486451275575,4.844606371651168,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,250,3.125,1.0,1.3960876788265714e-15,0.012052320316719042,3.124929561875535,4.837820540551421,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,300,3.125,1.0,1.3960876788265714e-15,0.04855068744892216,3.1249138483924135,4.830689764409334,False,relax,,,,,,,,,,,,,,,,,,,
