trial,sign,stage,step,radius,shell_weight,obstruction,constraint_residual,distance_from_home,max_abs_amplitude,accepted,landing,sus_channel,sus_residual,sus_max_abs_amplitude,best_channel,best_amplitude,best_killability,best_death_distance,delete_susceptibility,susceptibility_channel,novelty_from_home,novelty_from_archive,tangent_dim,home_tangent_dim,genericity_tau,home_soft_nullity,candidate_soft_nullity,soft_nullity_gain,correction_norm,branch_score
0,-1.0,0,0,3.125,8.0,0.00012976062029327638,1.7988596570701776,3.0675319191178247,5.952944668626889,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,50,3.125,8.0,0.00012976062029327638,0.14440129031043322,3.1207504247344606,5.989487064473135,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,100,3.125,8.0,0.00012976062029327638,0.04780682008905627,3.1244689181175045,5.983080345659658,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,150,3.125,8.0,0.00012976062029327638,0.031216962916119424,3.124735429985062,5.978249601318035,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,200,3.125,8.0,0.00012976062029327638,0.023663980481093812,3.1248609227605875,5.974086632127559,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,250,3.125,8.0,0.00012976062029327638,0.03292642748961624,3.1248995959732166,5.970985602190027,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,300,3.125,8.0,0.00012976062029327638,0.018441178681115885,3.1249317159846988,5.968986436820304,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,349,3.125,8.0,0.00012976062029327638,0.01660296262155059,3.1249389297882475,5.967619443276262,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,0,3.125,3.0,0.00012976062029327638,0.01774462382420984,3.1249590382670767,5.967584511327034,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,50,3.125,3.0,0.00012976062029327638,0.01855017149393291,3.124905164773573,5.966504954719742,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,100,3.125,3.0,0.00012976062029327638,0.013754795937808128,3.1249180452257357,5.964840378083985,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,150,3.125,3.0,0.00012976062029327638,0.017260394875985165,3.124944444640448,5.963142457092899,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,200,3.125,3.0,0.00012976062029327638,0.03806317225068278,3.1249475090749073,5.961558854198821,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,250,3.125,3.0,0.00012976062029327638,0.03275180908912774,3.1248895470916547,5.957931194059762,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,300,3.125,3.0,0.00012976062029327638,0.06154249589487155,3.124902658197051,5.957073688859309,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,349,3.125,3.0,0.00012976062029327638,0.01507030916725516,3.1249461180405818,5.954650925887144,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,0,3.125,1.0,0.00012976062029327638,0.01674552511179077,3.124976138878932,5.954695812271859,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,50,3.125,1.0,0.00012976062029327638,0.020879158373662894,3.124856233611557,5.947842421299337,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,100,3.125,1.0,0.00012976062029327638,0.10806464493744515,3.1249055959107683,5.9470568400937065,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,150,3.125,1.0,0.00012976062029327638,0.009188882409948224,3.1248442491112076,5.9418412289840745,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,200,3.125,1.0,0.00012976062029327638,0.037331047476494135,3.1248731978685065,5.9360987917311006,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,250,3.125,1.0,0.00012976062029327638,0.06307839786578,3.124869739822094,5.930805237852347,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,300,3.125,1.0,0.00012976062029327638,0.07963211050028678,3.125001147305456,5.926794736625416,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,349,3.125,1.0,0.00012976062029327638,0.031389048338620544,3.1248045617152123,5.9204388291955645,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,3,0,3.125,0.3,0.00012976062029327638,0.03750904307365827,3.1249908913171867,5.920797476317126,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,3,50,3.125,0.3,0.00012976062029327638,0.030218370626671247,3.124560290550304,5.9117525082133255,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,3,100,3.125,0.3,0.00012976062029327638,0.028341717371449655,3.123735653566422,5.904113613316342,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,3,150,3.125,0.3,0.00012976062029327638,0.06805007427641845,3.1251156309494723,5.897196789684002,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,3,200,3.125,0.3,0.00012976062029327638,0.0948456116933068,3.1250022477598525,5.891940818547447,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,3,250,3.125,0.3,0.00012976062029327638,0.014654843832329264,3.1248564136530392,5.882239933780924,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,3,300,3.125,0.3,0.00012976062029327638,0.026663227103997118,3.124709628024674,5.865611988192127,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,3,349,3.125,0.3,0.00012976062029327638,0.03349295899386274,3.1248436199933844,5.864630459257169,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,-2,0,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,13,2.385535941623402,5.4758661059980795,,,,,,,,,,,,,,,,
0,-1.0,-2,25,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,13,1.0602369567485694,5.40762101295412,,,,,,,,,,,,,,,,
0,-1.0,-2,50,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,13,1.0078320708885955,5.381834602538589,,,,,,,,,,,,,,,,
0,-1.0,-2,75,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,13,1.0025612315190666,5.375113222756231,,,,,,,,,,,,,,,,
0,-1.0,-2,100,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,13,1.0013115886591273,5.375511678744639,,,,,,,,,,,,,,,,
0,-1.0,-2,125,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,13,1.0007332111210434,5.374889464317291,,,,,,,,,,,,,,,,
0,-1.0,-2,139,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,13,1.0005296667173633,5.373969194135397,,,,,,,,,,,,,,,,
0,-1.0,-2,0,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,2,2.3398439960997903,5.477154335571453,,,,,,,,,,,,,,,,
0,-1.0,-2,25,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,2,1.1110726167837313,5.433971512992526,,,,,,,,,,,,,,,,
0,-1.0,-2,50,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,2,1.0372848025513142,5.439859307843855,,,,,,,,,,,,,,,,
0,-1.0,-2,75,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,2,1.0187468398625672,5.449142603114631,,,,,,,,,,,,,,,,
0,-1.0,-2,100,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,2,1.0114707596762142,5.453050313954887,,,,,,,,,,,,,,,,
0,-1.0,-2,125,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,2,1.0075734913564123,5.448784794381911,,,,,,,,,,,,,,,,
0,-1.0,-2,139,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,2,1.0060551805464213,5.444799422515624,,,,,,,,,,,,,,,,
0,-1.0,-2,0,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,1,2.310503459240462,5.4763667979835216,,,,,,,,,,,,,,,,
0,-1.0,-2,25,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,1,1.1192956971292094,5.346427778217713,,,,,,,,,,,,,,,,
0,-1.0,-2,50,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,1,1.03435803909734,5.271610642780126,,,,,,,,,,,,,,,,
0,-1.0,-2,75,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,1,1.016246901133966,5.227427740441214,,,,,,,,,,,,,,,,
0,-1.0,-2,100,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,1,1.009619402812688,5.2096314262349015,,,,,,,,,,,,,,,,
0,-1.0,-2,125,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,1,1.0061256594708974,5.198919631189063,,,,,,,,,,,,,,,,
0,-1.0,-2,139,3.125,0.0,0.00012976062029327638,,,,,susceptibility_probe,1,1.0048437301708466,5.19578498612024,,,,,,,,,,,,,,,,
0,-1.0,-1,-1,3.125,0.0,0.00012976062029327638,3.6510463969336305e-15,3.1249999999999996,5.496490615595853,True,exact_shell,,,,13,1.3274999106639647,0.4783534723257642,2.7751442969769475,1.0005296667173633,13,0.044360141172051976,0.03703065338842484,37,35,1.1417214685875217e-09,34.98876325414517,36.99999999989495,-2.011236745749784,0.6953765306145695,7.44741776305583
0,1.0,0,0,3.125,8.0,0.00012976062029327638,1.7893040155188527,3.1022109441638532,5.059598729085419,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,0,50,3.125,8.0,0.00012976062029327638,0.1294375841172265,3.1185805797101716,5.174154154965938,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,0,100,3.125,8.0,0.00012976062029327638,0.03954947488822499,3.1243540937113576,5.251029949526123,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,0,150,3.125,8.0,0.00012976062029327638,0.02269025313080828,3.1249430984072606,5.279232759315722,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,0,200,3.125,8.0,0.00012976062029327638,0.016220291329121984,3.124987822086794,5.290648111889226,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,0,250,3.125,8.0,0.00012976062029327638,0.012797594777247687,3.1249952669231056,5.2964650955178305,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,0,300,3.125,8.0,0.00012976062029327638,0.022360959836130314,3.1249861353829345,5.299810988194533,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,0,349,3.125,8.0,0.00012976062029327638,0.008805969402497065,3.1249941939251396,5.302112168929346,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,1,0,3.125,3.0,0.00012976062029327638,0.008754090626233621,3.1249968780624098,5.302138342590808,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,1,50,3.125,3.0,0.00012976062029327638,0.02165481573625308,3.1249754285783498,5.303988834995245,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,1,100,3.125,3.0,0.00012976062029327638,0.03179362745241742,3.125036884081748,5.30475387518589,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,1,150,3.125,3.0,0.00012976062029327638,0.018205592517147404,3.1249992693103357,5.303263485574824,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,1,200,3.125,3.0,0.00012976062029327638,0.0246593464347423,3.1249238900793332,5.302896700880981,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,1,250,3.125,3.0,0.00012976062029327638,0.012235811703525277,3.125039158159062,5.299439633314242,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,1,300,3.125,3.0,0.00012976062029327638,0.03099848885462602,3.1249761405232492,5.294583001320695,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,1,349,3.125,3.0,0.00012976062029327638,0.013768110972002975,3.12502877873925,5.290773217458071,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,2,0,3.125,1.0,0.00012976062029327638,0.011348077579120597,3.1249958462457634,5.290719999714494,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,2,50,3.125,1.0,0.00012976062029327638,0.032766019602740754,3.125176124520611,5.2823969502402,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,2,100,3.125,1.0,0.00012976062029327638,0.03282742894635259,3.1251594269587954,5.276052873315759,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,2,150,3.125,1.0,0.00012976062029327638,0.060724075359573165,3.1250560020972245,5.275289225064932,False,relax,,,,,,,,,,,,,,,,,,,
0,1.0,2,200,3.125,1.0,0.00012976062029327638,0.06369887895063057,3.1244607944412275,5.262854156804893,False,relax,,,,,,,,,,,,,,,,,,,
