trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,2.393368027552973e-15,True,4.7868930569892876e-14,1.9339850919242967,True,37,37.00000000000068,-9.094947017729282e-13,2.152648261659297,7.392055868395882
0,1.0,2.5,2.393368027552973e-15,True,1.4117815384624706e-12,3.4326621296482775,True,37,36.999999999993406,6.366462912410498e-12,2.0530326073545244,7.5721917598581285
1,-1.0,2.5,1.9962594045494034e-15,True,1.294677420047549e-13,5.8698032242211875,True,37,37.00000000000068,-9.094947017729282e-13,2.3193854519376744,7.2595867312052205
1,1.0,2.5,1.9962594045494034e-15,True,5.33799651074748e-15,3.3896423971695673,True,37,37.00000000000068,-9.094947017729282e-13,2.054308367279425,6.931784144669343
2,-1.0,2.5,2.2470365972906455e-15,True,5.296022816502182e-15,2.424851361934376,True,37,37.000000000000796,-1.0231815394945443e-12,3.3363010001986213,7.287058735733477
2,1.0,2.5,2.2470365972906455e-15,True,6.060550962392609e-11,3.1729937835278363,True,37,36.99999997671034,2.3289430828299373e-08,3.575663982760979,7.40843283953282
3,-1.0,2.5,3.171220408806507e-15,True,6.175509083673018e-15,2.606965543190169,True,37,37.000000000000796,-1.0231815394945443e-12,3.31012398422696,6.923358962082713
3,1.0,2.5,3.171220408806507e-15,True,5.435979385393422e-15,3.005233919538217,True,37,37.00000000000091,-1.1368683772161603e-12,3.4850829382745503,7.3437952229155155
4,-1.0,2.5,3.010073821652564e-15,True,5.9925289510725335e-15,1.997115213287014,True,37,37.00000000000068,-9.094947017729282e-13,3.1882845382070695,7.203421703828893
4,1.0,2.5,3.010073821652564e-15,True,5.14591014800535e-15,1.9881261886812023,True,37,37.000000000000796,-1.0231815394945443e-12,2.5314472513766297,7.178577813446372
