r,s,projected_gradient_norm,collision_value,sign_u,sign_v,sign_w,amp_r,amp_s
14,23,0.5546975779047735,-0.2357022603955158,-1.0,1.0,-1.0,1.0,2.0
14,24,0.5546975779047735,-0.2357022603955158,-1.0,1.0,-1.0,1.0,2.0
9,13,0.47140452079103207,0.0,-1.0,-1.0,1.0,1.0,1.0
7,9,0.4714045207910319,0.0,1.0,1.0,1.0,1.0,1.0
0,15,0.47140452079103184,0.0,-1.0,-1.0,1.0,1.0,1.0
0,16,0.47140452079103184,0.0,1.0,-1.0,-1.0,1.0,1.0
1,16,0.47140452079103184,0.0,1.0,-1.0,-1.0,1.0,1.0
5,10,0.47140452079103184,0.0,-1.0,1.0,-1.0,1.0,1.0
6,11,0.47140452079103184,0.0,1.0,-1.0,-1.0,1.0,1.0
0,11,0.4714045207910318,0.0,-1.0,1.0,-1.0,1.0,1.0
8,16,0.4714045207910318,0.0,-1.0,1.0,-1.0,1.0,1.0
1,11,0.47140452079103173,0.0,-1.0,1.0,-1.0,1.0,1.0
2,12,0.47140452079103173,0.0,-1.0,1.0,-1.0,1.0,1.0
2,13,0.47140452079103173,0.0,-1.0,1.0,-1.0,1.0,1.0
3,11,0.47140452079103173,0.0,-1.0,-1.0,1.0,1.0,1.0
4,11,0.47140452079103173,0.0,-1.0,-1.0,1.0,1.0,1.0
7,8,0.47140452079103173,0.0,-1.0,-1.0,1.0,1.0,1.0
8,12,0.47140452079103173,0.0,-1.0,-1.0,1.0,1.0,1.0
8,13,0.47140452079103173,0.0,1.0,-1.0,-1.0,1.0,1.0
9,11,0.47140452079103173,0.0,-1.0,1.0,-1.0,1.0,1.0
10,11,0.47140452079103173,0.0,1.0,1.0,1.0,1.0,1.0
10,12,0.47140452079103173,0.0,-1.0,-1.0,1.0,1.0,1.0
11,14,0.47140452079103173,0.0,1.0,1.0,1.0,1.0,1.0
12,16,0.47140452079103173,0.0,1.0,1.0,1.0,1.0,1.0
0,8,0.4714045207910317,0.0,1.0,-1.0,-1.0,1.0,1.0
1,14,0.4714045207910317,0.0,1.0,1.0,1.0,1.0,1.0
2,5,0.4714045207910317,0.0,1.0,-1.0,-1.0,1.0,1.0
2,8,0.4714045207910317,0.0,1.0,1.0,1.0,1.0,1.0
2,14,0.4714045207910317,0.0,-1.0,-1.0,1.0,1.0,1.0
2,15,0.4714045207910317,0.0,-1.0,1.0,-1.0,1.0,1.0
2,17,0.4714045207910317,0.0,1.0,1.0,1.0,1.0,1.0
2,18,0.4714045207910317,0.0,-1.0,-1.0,1.0,1.0,1.0
3,13,0.4714045207910317,0.0,-1.0,-1.0,1.0,1.0,1.0
3,16,0.4714045207910317,0.0,-1.0,1.0,-1.0,1.0,1.0
3,18,0.4714045207910317,0.0,-1.0,-1.0,1.0,1.0,1.0
4,12,0.4714045207910317,0.0,1.0,-1.0,-1.0,1.0,1.0
5,12,0.4714045207910317,0.0,-1.0,1.0,-1.0,1.0,1.0
5,13,0.4714045207910317,0.0,1.0,-1.0,-1.0,1.0,1.0
6,8,0.4714045207910317,0.0,1.0,-1.0,-1.0,1.0,1.0
8,14,0.4714045207910317,0.0,1.0,-1.0,-1.0,1.0,1.0
11,15,0.4714045207910317,0.0,-1.0,-1.0,1.0,1.0,1.0
4,16,0.4714045207910316,0.0,-1.0,-1.0,1.0,1.0,1.0
4,17,0.4714045207910316,0.0,-1.0,1.0,-1.0,1.0,1.0
