image,t,constraint_residual,full_tensor_residual,correction,x,y,stage
0,0.0,0.0,0.0,0.0,1.0,1.0,schoolbook_to_fusion
1,0.025,3.468408663540575e-14,4.8593780927981283e-14,0.0345807327414613,1.0000008081624006,1.0004099136931743,schoolbook_to_fusion
2,0.05,2.719482670520442e-16,6.473784259683175e-16,0.07004574892123488,1.000014386753165,1.0020895976284425,schoolbook_to_fusion
3,0.07500000000000001,3.1401986046136924e-16,5.555550805629185e-16,0.10574091904377288,1.0000813844620167,1.0058108918313793,schoolbook_to_fusion
4,0.1,3.845946499458103e-16,4.987091469550716e-16,0.14098572277292393,1.0002863609087618,1.0123604664812043,schoolbook_to_fusion
5,0.125,5.551125878954157e-16,3.70449545718143e-16,0.175132914118973,1.000768453322327,1.0223593864465854,schoolbook_to_fusion
6,0.15000000000000002,4.1555638717907107e-16,9.257282474373278e-16,0.20758852535808872,1.001717385744928,1.0361254801168556,schoolbook_to_fusion
7,0.17500000000000002,2.3855373747622075e-15,4.947446850297072e-15,0.23779460944730674,1.0033526035168887,1.0536595093249401,schoolbook_to_fusion
8,0.2,5.50034692954494e-14,9.841712441188114e-14,0.26521026207579895,1.005895514693754,1.0747343817688049,schoolbook_to_fusion
9,0.225,6.04516517484611e-13,1.0837863931868953e-12,0.289333980882555,1.0095454827535375,1.0989991841521076,schoolbook_to_fusion
10,0.25,3.695297624598741e-16,4.729775359408244e-16,0.3097644590585032,1.014462526822607,1.126041788149447,schoolbook_to_fusion
11,0.275,2.100674606599793e-17,5.603580458983847e-16,0.3262562591662027,1.020755652807913,1.1554142254710604,schoolbook_to_fusion
12,0.30000000000000004,6.082675360134e-16,4.743715081835738e-16,0.3387436459813166,1.0284765516945384,1.1866470046824413,schoolbook_to_fusion
13,0.325,3.511331628465725e-16,4.039489660668954e-16,0.3473308782631556,1.0376193477178712,1.219267892955209,schoolbook_to_fusion
14,0.35000000000000003,2.513717652330128e-16,7.884519172723497e-16,0.35225963815000166,1.048126456538022,1.2528257644484508,schoolbook_to_fusion
15,0.375,2.652769356460872e-16,4.1349101408145816e-16,0.3538668697567634,1.0598992877525224,1.2869135169408248,schoolbook_to_fusion
16,0.4,2.5306373111134644e-16,5.123186172600658e-16,0.35254350086752534,1.0728115283563076,1.3211846066253392,schoolbook_to_fusion
17,0.42500000000000004,2.2813278979901827e-16,1.0103740812711256e-15,0.3487000081733289,1.0867225585431202,1.3553609647718419,schoolbook_to_fusion
18,0.45,3.5651987652240767e-16,5.374519677882223e-16,0.34274088344431397,1.1014891092311834,1.3892329380036412,schoolbook_to_fusion
19,0.47500000000000003,3.33297461055693e-16,4.017491802407542e-16,0.33504758809327806,1.1169741572579017,1.4226534191590368,schoolbook_to_fusion
20,0.5,3.6607869032243384e-16,7.268819091993558e-16,0.3259683971732916,1.133052846806112,1.455528649271953,schoolbook_to_fusion
21,0.525,2.961291044157107e-16,5.290720084563845e-16,0.31581316498499606,1.1496157136162795,1.4878077807559291,schoolbook_to_fusion
22,0.5499999999999999,1.9683870018171788e-16,6.85536592586003e-16,0.30485108021690505,1.1665696705269408,1.5194726494629145,schoolbook_to_fusion
23,0.575,3.225271175848731e-16,1.0885819704545411e-15,0.2933096620403474,1.183837184906531,1.5505285816072834,schoolbook_to_fusion
24,0.6,8.602771762414877e-16,1.2861588769808374e-15,0.2813734692108713,1.2013539402833633,1.580996576098081,schoolbook_to_fusion
25,0.625,3.5187882098744843e-16,8.821454287735148e-16,0.26918124814512,1.2190650926637931,1.6109068728774272,schoolbook_to_fusion
26,0.65,4.309193220641406e-16,1.138783048852587e-15,0.25682061710742776,1.236920043836554,1.6402937188209417,schoolbook_to_fusion
27,0.6749999999999999,4.1911381898812296e-16,9.28445284836286e-16,0.2443200524189778,1.254865487490405,1.669191039191118,schoolbook_to_fusion
28,0.7,4.710887357884342e-16,9.128696887056209e-16,0.231639145563356,1.2728363853837028,1.6976286860973415,schoolbook_to_fusion
29,0.725,3.026980265006276e-16,4.0764319321658805e-16,0.2186599245153023,1.2907445975283212,1.7256289542584409,schoolbook_to_fusion
30,0.75,3.42866148219555e-16,9.228125957282729e-16,0.20518395449976654,1.3084653064959237,1.753203141698096,schoolbook_to_fusion
31,0.775,8.7799066000133e-13,1.9924247255894227e-12,0.19094063983832874,1.3258224166185948,1.7803481361567808,schoolbook_to_fusion
32,0.8,3.1886814032862596e-13,7.287758162819324e-13,0.17561089852065132,1.3425759967018052,1.807043416086577,schoolbook_to_fusion
33,0.825,8.596749701031188e-14,1.9843733462037084e-13,0.15886827032862175,1.3584171912841783,1.833249578341879,schoolbook_to_fusion
34,0.85,1.589616368156487e-14,3.697940753627039e-14,0.14043704584274605,1.3729767464767286,1.858910534795978,schoolbook_to_fusion
35,0.875,1.856549706740095e-15,4.207254358408912e-15,0.120162339071806,1.3858483745837709,1.8839623332062791,schoolbook_to_fusion
36,0.9,2.7943118175959687e-16,8.050133267393955e-16,0.09808004657143526,1.3966191191079806,1.9083508447553403,schoolbook_to_fusion
37,0.925,4.0192478569690463e-16,6.79806027187993e-16,0.07446588635738349,1.4049099728043242,1.9320578503933756,schoolbook_to_fusion
38,0.95,2.875759163661414e-16,6.457285692637369e-16,0.04982213869172374,1.4104786028042064,1.955131789886744,schoolbook_to_fusion
39,0.975,1.3620724038421244e-13,2.2480805921741048e-13,0.02477878311098842,1.4134081105463001,1.9777096125037281,schoolbook_to_fusion
40,1.0,4.440892098500626e-16,6.280369834735101e-16,0.0,1.4142135623730951,2.0,schoolbook_to_fusion
41,0.05,0.0,6.280369834735101e-16,0.0,1.48492424049175,2.0,duplicate_weight_transfer
42,0.1,0.0,6.280369834735101e-16,0.0,1.5556349186104046,2.0,duplicate_weight_transfer
43,0.15000000000000002,0.0,6.280369834735101e-16,0.0,1.6263455967290594,2.0,duplicate_weight_transfer
44,0.2,0.0,6.353541660708338e-16,0.0,1.6970562748477143,2.0,duplicate_weight_transfer
45,0.25,0.0,6.638168205731153e-16,0.0,1.7677669529663689,2.0,duplicate_weight_transfer
46,0.30000000000000004,0.0,6.353541660708338e-16,0.0,1.8384776310850237,2.0,duplicate_weight_transfer
47,0.35000000000000003,0.0,6.638168205731153e-16,0.0,1.9091883092036785,2.0,duplicate_weight_transfer
48,0.4,0.0,6.280369834735101e-16,0.0,1.9798989873223332,2.0,duplicate_weight_transfer
49,0.45,0.0,6.353541660708338e-16,0.0,2.050609665440988,2.0,duplicate_weight_transfer
50,0.5,0.0,6.298742481986151e-16,0.0,2.121320343559643,2.0,duplicate_weight_transfer
51,0.5499999999999999,0.0,6.280369834735101e-16,0.0,2.1920310216782974,2.0,duplicate_weight_transfer
