generation,rank,basin_id,parent_id,roles,expansion_count,soft_nullity,susceptibility,death_distance,source
1,25,1,0,genericity+deletion+death,1,64.99999999978661,1.0000308125829502,2.4397028124511797,drop_26_to_25
2,25,3,1,genericity,1,64.99999999364809,1.0015583653565265,2.6703138038470433,wall:amplitude_wall
2,25,5,1,deletion+death,1,64.9999999998904,1.0000052461991373,2.083232521335196,off_manifold_hop
2,25,4,1,explore,1,64.999999999887,1.0000276216930049,2.149589680047287,off_manifold_hop
3,25,20,3,genericity,1,63.99999999980696,1.0000446073967815,2.2027945601858776,off_manifold_hop
3,25,5,1,deletion,2,64.99999999988336,1.0000052461991373,2.0832325213351957,off_manifold_hop
3,25,18,3,death,1,64.9999999998829,1.0000396055601422,2.0253125833320023,exact_hop
3,25,51,4,explore,1,64.99999999987767,1.0000106275536713,2.190595921991194,off_manifold_hop
4,25,64,20,genericity+death,1,63.999999999856755,1.0000842264317287,1.9654512476111519,exact_hop
4,25,111,51,deletion,1,64.99999999988074,0.10317342095657243,2.4439104174515145,wall:amplitude_wall
4,25,63,20,explore,1,63.99999999988336,1.0001675552944467,2.0204891288459432,exact_hop
5,25,124,64,genericity,1,63.99999999987756,0.9135244854336851,2.111399219503072,wall:amplitude_wall
5,25,111,51,deletion,2,64.99999999987995,0.10317342095657243,2.443910417451517,wall:amplitude_wall
5,25,125,64,death,1,64.99999999985539,1.000068365616445,1.8955373023542212,exact_hop
6,25,168,124,genericity,1,63.99999999986596,1.0001292867183853,1.958711999741226,exact_hop
6,25,111,51,deletion,3,64.99999999987688,0.10317342095657243,2.443910417451516,wall:amplitude_wall
6,25,125,64,death,2,64.99999999985846,1.000068365616445,1.8955373023542217,exact_hop
6,25,51,4,explore,2,64.9999999998771,1.0000106275536713,2.1905959219911932,off_manifold_hop
7,25,207,168,genericity,1,63.99999999985653,0.9996282150392738,1.9521906678746963,exact_hop
7,25,111,51,deletion,4,64.99999999987779,0.10317342095657243,2.44391041745152,wall:amplitude_wall
7,25,125,64,death,3,64.99999999985698,1.000068365616445,1.8955373023542208,exact_hop
8,25,266,207,genericity,1,63.99999999984141,0.9997037215136267,2.0959400693334582,exact_hop
8,25,111,51,deletion,5,64.99999999988017,0.10317342095657243,2.4439104174515203,wall:amplitude_wall
8,25,269,207,death,1,63.99999999986085,1.0000728976806907,1.8913880486049715,off_manifold_hop
10,24,344,111,genericity+deletion+death,1,49.999999999999545,1.0002659490634718,2.7349036972579324,drop_25_to_24
