trial,sign,radius,obstruction,converged,constraint_residual,correction_norm
0,-1.0,2.5,4.328596834396931e-10,False,0.96140241571086,0.0
0,1.0,2.5,4.328596834396931e-10,False,0.9927803759462311,0.0
1,-1.0,2.5,3.5025525070343473e-10,False,1.031141311191013,0.0
1,1.0,2.5,3.5025525070343473e-10,False,1.0790075297515627,0.0
2,-1.0,2.5,6.631249148992839e-10,False,0.9482012284050304,0.0
2,1.0,2.5,6.631249148992839e-10,False,0.9376318199168016,0.0
3,-1.0,2.5,5.309520874709349e-10,False,0.8553432686178649,0.0
3,1.0,2.5,5.309520874709349e-10,False,0.8339809202076843,0.0
4,-1.0,2.5,6.443106199114816e-10,False,1.006559857588631,0.0
4,1.0,2.5,6.443106199114816e-10,False,0.9865461860085148,0.0
