trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,9.919642275438389e-16,True,2.202108154699729e-12,3.184912197688548,True,36,35.99999999998818,1.1823431123048067e-11,2.7950478908152743,6.032739958990927
0,1.0,2.5,9.919642275438389e-16,True,4.821201178346522e-15,2.815680783470509,True,36,36.0,0.0,2.913836993656268,6.020259152724394
1,-1.0,2.5,9.152657999521222e-16,True,9.435155760155485e-14,1.912755616639869,True,36,36.0,0.0,2.8693741476581534,5.850569630877251
1,1.0,2.5,9.152657999521222e-16,True,4.950507919452872e-15,2.36831318044795,True,36,36.0,0.0,2.772415217228919,6.361114233186265
2,-1.0,2.5,1.1568345460530544e-15,True,2.504967106585076e-12,3.7104404072303865,True,36,35.99999999972772,2.722799763432704e-10,2.961191131626891,5.6118412082801425
2,1.0,2.5,1.1568345460530544e-15,True,4.9159848659679e-15,3.150303819559079,True,36,36.0,0.0,3.0452885185305987,5.834039302616207
3,-1.0,2.5,1.1407922018322122e-15,True,1.009755005576063e-14,2.9253962400083977,True,36,36.0,0.0,2.5639426560498237,5.750027247083137
3,1.0,2.5,1.1407922018322122e-15,True,4.702115098241694e-15,2.636659326701007,True,36,36.0,0.0,2.65909787336052,5.9867413804080005
4,-1.0,2.5,1.10882868584205e-15,True,4.2528689995269006e-15,2.830749886334125,True,36,36.000000000000114,-1.1368683772161603e-13,3.1014086765374853,5.752155254573489
4,1.0,2.5,1.10882868584205e-15,True,9.20158538436467e-15,4.101896751564136,True,36,36.0,0.0,2.6063805477616744,5.717722663378367
