trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,4.85561892002752e-15,True,6.21384203202835e-15,3.772814622790066,False,36,36.000000000040245,-2.000000000044224,2.2340776011945223,8.094456842593882
0,1.0,2.5,4.85561892002752e-15,True,1.0941639506098989e-13,5.316820028404244,False,34,34.00000000000148,-5.4569682106375694e-12,2.8394279008610397,8.10558363022011
1,-1.0,2.5,4.140700187790793e-15,True,1.321698730228666e-14,3.408882770268395,True,34,34.000000000001364,-5.343281372915953e-12,2.856243537424562,7.972194885575568
1,1.0,2.5,4.140700187790793e-15,True,6.035876906669724e-15,2.7633754934987804,True,34,34.0000000000133,-1.7280399333685637e-11,3.551668041487047,7.979550975563318
2,-1.0,2.5,4.628269896037857e-15,True,3.80634294669121e-12,3.888041195935677,False,34,33.99999999999977,-3.751665644813329e-12,2.4060983356371657,8.182223542509314
2,1.0,2.5,4.628269896037857e-15,True,5.629052221761832e-12,3.5263518035656434,False,36,35.99999999984459,-1.9999999998485691,3.545592116479291,8.450551718775548
3,-1.0,2.5,4.535594545058632e-15,True,1.4681702534639423e-12,2.6350648920428243,False,36,36.00000000000432,-2.000000000008299,2.0897736712465447,8.242806811093951
3,1.0,2.5,4.535594545058632e-15,True,1.8356489722098216e-12,3.2080663851183306,False,34,33.999999999995794,2.2737367544323206e-13,2.8749653456841875,8.714146016030016
4,-1.0,2.5,4.979455926779977e-15,True,4.84424747501142e-11,2.571649654330347,False,34,33.999999994522796,5.4732254284317605e-09,3.0947361384553886,8.156342360112358
4,1.0,2.5,4.979455926779977e-15,True,1.3173776267075037e-11,3.714876923217459,False,34,33.99999999975125,2.447677616146393e-10,2.9114560648890433,8.46391890233767
