generation,rank,basin_id,parent_id,source,soft_nullity,hard_nullity,susceptibility,susceptibility_channel,death_distance,best_channel,best_amplitude,best_killability,max_abs_amplitude,residual,expansion_count,last_expanded_generation,accepted,note,probe_residual,probe_channel
33,23,1268,1240,exact_hop,34.99999999999943,35,1.0025308792919392,2,1.873550068519754,2,1.4319109248684712,0.7642768394227056,7.583248911570406,5.836910940654641e-15,1,33,True,expanded:genericity,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,10,33,True,expanded:deletion,,
20,23,844,673,exact_hop,35.999999999999545,36,1.0013549706976042,11,1.832451701534958,11,1.4863855711819915,0.8111458380796158,7.794621726752158,6.101613861387864e-15,14,33,True,expanded:death,,
13,23,567,78,off_manifold_hop,35.99999999999977,36,1.003145672548604,2,2.6762674536886215,3,1.6621887215329512,0.6210846824154308,4.0700255111035935,3.700394966407198e-15,7,33,True,expanded:explore,,
34,23,1299,1268,off_manifold_hop,34.99999999999977,35,1.0024610798418223,6,2.5951868415034323,2,1.2378986165837877,0.4769978780667113,7.132422542959122,5.71829763037353e-15,0,-1,True,pareto_kept_polished,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,10,33,True,pareto_kept_polished,,
34,23,1320,844,exact_hop,35.99999999999966,36,1.0014136727533087,11,1.8281057563953167,11,1.3650364674439919,0.7466944746870602,7.982263499731297,6.1194616124858584e-15,0,-1,True,pareto_kept_polished,,
13,23,567,78,off_manifold_hop,35.99999999999977,36,1.003145672548604,2,2.6762674536886215,3,1.6621887215329512,0.6210846824154308,4.0700255111035935,3.700394966407198e-15,7,33,True,pareto_kept_polished,,
34,23,1299,1268,off_manifold_hop,34.99999999999977,35,1.0024610798418223,6,2.5951868415034323,2,1.2378986165837877,0.4769978780667113,7.132422542959122,5.71829763037353e-15,0,-1,True,frontier,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,10,33,True,frontier,,
34,23,1320,844,exact_hop,35.99999999999966,36,1.0014136727533087,11,1.8281057563953167,11,1.3650364674439919,0.7466944746870602,7.982263499731297,6.1194616124858584e-15,0,-1,True,frontier,,
13,23,567,78,off_manifold_hop,35.99999999999977,36,1.003145672548604,2,2.6762674536886215,3,1.6621887215329512,0.6210846824154308,4.0700255111035935,3.700394966407198e-15,7,33,True,frontier,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,10,33,False,full_delete_probe,1.0000621219352037,4
34,23,1299,1268,off_manifold_hop,34.99999999999977,35,1.0024610798418223,6,2.5951868415034323,2,1.2378986165837877,0.4769978780667113,7.132422542959122,5.71829763037353e-15,1,34,True,expanded:genericity,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,11,34,True,expanded:deletion,,
34,23,1320,844,exact_hop,35.99999999999966,36,1.0014136727533087,11,1.8281057563953167,11,1.3650364674439919,0.7466944746870602,7.982263499731297,6.1194616124858584e-15,1,34,True,expanded:death,,
35,23,1341,1299,exact_hop,34.99999999999977,35,1.0028044205721414,2,2.177716440016521,2,1.3455026589969041,0.6178502555579258,7.580582012075148,6.4810996052601975e-15,0,-1,True,pareto_kept_polished,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,11,34,True,pareto_kept_polished,,
34,23,1320,844,exact_hop,35.99999999999966,36,1.0014136727533087,11,1.8281057563953171,11,1.3650364674439919,0.7466944746870601,7.982263499731297,6.175700970035656e-15,1,34,True,pareto_kept_polished,,
13,23,567,78,off_manifold_hop,35.99999999999977,36,1.003145672548604,2,2.6762674536886215,3,1.6621887215329512,0.6210846824154308,4.0700255111035935,3.700394966407198e-15,7,33,True,pareto_kept_polished,,
35,23,1341,1299,exact_hop,34.99999999999977,35,1.0028044205721414,2,2.177716440016521,2,1.3455026589969041,0.6178502555579258,7.580582012075148,6.4810996052601975e-15,0,-1,True,frontier,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,11,34,True,frontier,,
34,23,1320,844,exact_hop,35.99999999999966,36,1.0014136727533087,11,1.8281057563953171,11,1.3650364674439919,0.7466944746870601,7.982263499731297,6.175700970035656e-15,1,34,True,frontier,,
13,23,567,78,off_manifold_hop,35.99999999999977,36,1.003145672548604,2,2.6762674536886215,3,1.6621887215329512,0.6210846824154308,4.0700255111035935,3.700394966407198e-15,7,33,True,frontier,,
35,23,1341,1299,exact_hop,34.99999999999977,35,1.0028044205721414,2,2.177716440016521,2,1.3455026589969041,0.6178502555579258,7.580582012075148,6.4810996052601975e-15,1,35,True,expanded:genericity,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,12,35,True,expanded:deletion,,
34,23,1320,844,exact_hop,35.99999999999966,36,1.0014136727533087,11,1.8281057563953171,11,1.3650364674439919,0.7466944746870601,7.982263499731297,6.175700970035656e-15,2,35,True,expanded:death,,
36,23,1370,1341,exact_hop,34.999999999999545,35,1.0055812671854831,6,2.2946949652733077,2,1.7012231699121423,0.7413722501934018,7.382196587172499,5.555161705504661e-15,0,-1,True,pareto_kept_polished,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,12,35,True,pareto_kept_polished,,
34,23,1320,844,exact_hop,35.99999999999977,36,1.0014136727533087,11,1.8281057563953167,11,1.3650364674439919,0.7466944746870602,7.982263499731297,6.193511992508291e-15,2,35,True,pareto_kept_polished,,
13,23,567,78,off_manifold_hop,35.99999999999977,36,1.003145672548604,2,2.6762674536886215,3,1.6621887215329512,0.6210846824154308,4.0700255111035935,3.700394966407198e-15,7,33,True,pareto_kept_polished,,
36,23,1370,1341,exact_hop,34.999999999999545,35,1.0055812671854831,6,2.2946949652733077,2,1.7012231699121423,0.7413722501934018,7.382196587172499,5.555161705504661e-15,0,-1,True,frontier,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,12,35,True,frontier,,
34,23,1320,844,exact_hop,35.99999999999977,36,1.0014136727533087,11,1.8281057563953167,11,1.3650364674439919,0.7466944746870602,7.982263499731297,6.193511992508291e-15,2,35,True,frontier,,
13,23,567,78,off_manifold_hop,35.99999999999977,36,1.003145672548604,2,2.6762674536886215,3,1.6621887215329512,0.6210846824154308,4.0700255111035935,3.700394966407198e-15,7,33,True,frontier,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,12,35,False,full_delete_probe,1.000225233245859,4
36,23,1370,1341,exact_hop,34.999999999999545,35,1.0055812671854831,6,2.2946949652733077,2,1.7012231699121423,0.7413722501934018,7.382196587172499,5.555161705504661e-15,1,36,True,expanded:genericity,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,13,36,True,expanded:deletion,,
34,23,1320,844,exact_hop,35.99999999999977,36,1.0014136727533087,11,1.8281057563953167,11,1.3650364674439919,0.7466944746870602,7.982263499731297,6.193511992508291e-15,3,36,True,expanded:death,,
13,23,567,78,off_manifold_hop,35.99999999999977,36,1.003145672548604,2,2.6762674536886215,3,1.6621887215329512,0.6210846824154308,4.0700255111035935,3.700394966407198e-15,8,36,True,expanded:explore,,
37,23,1402,1370,exact_hop,34.99999999999966,35,1.0037192819630172,2,2.5711935888289577,2,1.1973607371165826,0.4656828417427398,7.5805807077283855,5.793050747159812e-15,0,-1,True,pareto_kept_polished,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,13,36,True,pareto_kept_polished,,
34,23,1320,844,exact_hop,35.99999999999966,36,1.0014136727533087,11,1.8281057563953174,11,1.3650364674439919,0.74669447468706,7.982263499731297,6.17759934583312e-15,3,36,True,pareto_kept_polished,,
13,23,567,78,off_manifold_hop,35.99999999999977,36,1.003145672548604,2,2.6762674536886215,3,1.6621887215329512,0.6210846824154308,4.0700255111035935,3.700394966407198e-15,8,36,True,pareto_kept_polished,,
37,23,1402,1370,exact_hop,34.99999999999966,35,1.0037192819630172,2,2.5711935888289577,2,1.1973607371165826,0.4656828417427398,7.5805807077283855,5.793050747159812e-15,0,-1,True,frontier,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,13,36,True,frontier,,
34,23,1320,844,exact_hop,35.99999999999966,36,1.0014136727533087,11,1.8281057563953174,11,1.3650364674439919,0.74669447468706,7.982263499731297,6.17759934583312e-15,3,36,True,frontier,,
13,23,567,78,off_manifold_hop,35.99999999999977,36,1.003145672548604,2,2.6762674536886215,3,1.6621887215329512,0.6210846824154308,4.0700255111035935,3.700394966407198e-15,8,36,True,frontier,,
37,23,1402,1370,exact_hop,34.99999999999966,35,1.0037192819630172,2,2.5711935888289577,2,1.1973607371165826,0.4656828417427398,7.5805807077283855,5.793050747159812e-15,1,37,True,expanded:genericity,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,14,37,True,expanded:deletion,,
34,23,1320,844,exact_hop,35.99999999999966,36,1.0014136727533087,11,1.8281057563953174,11,1.3650364674439919,0.74669447468706,7.982263499731297,6.17759934583312e-15,4,37,True,expanded:death,,
38,23,1448,1402,off_manifold_hop,34.999999999999545,35,1.0025836225807503,6,2.1788952501941816,2,1.2761607905129124,0.5856916666366507,7.937924532148226,6.644104431244289e-15,0,-1,True,pareto_kept_polished,,
24,23,970,200,off_manifold_hop,35.99999999999966,36,0.6035945595265015,4,2.4815781199865943,3,1.6360382208356052,0.6592733098583425,5.023409209001884,4.0410386339949306e-15,14,37,True,pareto_kept_polished,,
34,23,1320,844,exact_hop,35.99999999999966,36,1.0014136727533087,11,1.828105756395319,11,1.3650364674439919,0.7466944746870593,7.982263499731297,6.213398464834945e-15,4,37,True,pareto_kept_polished,,
13,23,567,78,off_manifold_hop,35.99999999999977,36,1.003145672548604,2,2.6762674536886215,3,1.6621887215329512,0.6210846824154308,4.0700255111035935,3.700394966407198e-15,8,36,True,pareto_kept_polished,,
