iteration,channel,amplitude,killability,residual,jacobian_rank,tangent_dim,sigma_min_positive,max_abs_amplitude,amp_step
0,11,1.6490045434845442,0.6999038758894607,3.5617774384853505e-15,608,36,0.11541195151010052,4.248635202673135,0.05
1,11,1.5990045434845441,0.6769078060764391,2.2751433815794983e-12,608,36,0.11454750507110309,4.253733770316131,0.05
2,11,1.549004543484544,0.6478012754815665,6.320329445004349e-12,608,36,0.11369864449113253,4.25919524275659,0.05
3,11,1.499004543484544,0.6107711459393744,2.0524582823787378e-11,608,36,0.11291819360891983,4.265098774057512,0.05
4,11,1.449004543484544,0.5635437728257587,8.916847542726587e-11,608,36,0.11229716115834973,4.271550518656791,0.05
5,11,1.399004543484544,0.5036768183578053,3.6775029946711016e-15,608,36,0.11198754871711858,4.278766830247446,0.05
6,11,1.349004543484544,0.4299626179729503,3.3900674719708474e-15,608,36,0.11223076250639491,4.287602958645318,0.05
7,11,1.2990045434845439,0.3465579033100189,3.448605702790332e-15,608,36,0.11333221052230426,4.300737727594594,0.05
8,11,1.2490045434845438,0.27067680924124826,6.811761284226817e-14,608,36,0.11534512430438326,4.321757078585098,0.05
9,11,1.1990045434845438,0.22367401256618896,1.6825547274068602e-14,608,36,0.1172412878395969,4.351267958048792,0.05
10,11,1.1490045434845437,0.18521315176115258,3.6011389215012135e-15,608,36,0.1168814341155034,4.39061298430882,0.05
11,11,1.0990045434845437,0.14091033012924775,1.159258269575539e-14,608,36,0.11426930312289638,4.445119634119811,0.05
12,11,1.0490045434845436,0.08845052583338688,2.2411844460202885e-11,608,36,0.10817527130336807,4.534538994186816,0.05
13,11,1.03,0.06433817431473107,3.2922175570749966e-15,608,36,0.10492005289756853,4.584424685086994,0.024705906529906698
