trial,sign,radius,obstruction,converged,constraint_residual,correction_norm
0,-1.0,2.5,1.4677799757206422e-15,False,0.6646702027120273,3.144272784700284
0,1.0,2.5,1.4677799757206422e-15,False,0.7624685527638346,0.7042943003523123
1,-1.0,2.5,1.195250704058005e-15,False,0.7500626477148143,3.5688123319472647
1,1.0,2.5,1.195250704058005e-15,False,0.9437455918508101,2.9544194614887904
2,-1.0,2.5,1.2606599926168444e-15,False,0.9378938636441716,1.1231911442668265
2,1.0,2.5,1.2606599926168444e-15,False,0.8257055225823117,4.1575734209093005
3,-1.0,2.5,1.1466472100859708e-15,False,0.4893334388432208,4.465207536880306
3,1.0,2.5,1.1466472100859708e-15,False,0.5670291572959446,6.328250801045668
4,-1.0,2.5,1.43059840666007e-15,False,0.8437006442898521,2.4913846491092175
4,1.0,2.5,1.43059840666007e-15,False,0.8755366457750263,1.9599683668286039
