trial,sign,stage,step,radius,shell_weight,obstruction,constraint_residual,distance_from_home,max_abs_amplitude,accepted,landing,sus_channel,sus_residual,sus_max_abs_amplitude,best_channel,best_amplitude,best_killability,best_death_distance,delete_susceptibility,susceptibility_channel,novelty_from_home,novelty_from_archive,tangent_dim,home_tangent_dim,genericity_tau,home_soft_nullity,candidate_soft_nullity,soft_nullity_gain,correction_norm,branch_score
0,-1.0,0,0,3.125,8.0,1.0676679197196574e-15,1.3768120175283545,3.068224405883235,6.456406118150603,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,50,3.125,8.0,1.0676679197196574e-15,0.1438405136229113,3.1234219252641107,6.71541347397988,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,100,3.125,8.0,1.0676679197196574e-15,0.059293958295828675,3.124598950758087,6.778637911031964,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,150,3.125,8.0,1.0676679197196574e-15,0.03240879101075143,3.1247842193751496,6.799036081731785,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,200,3.125,8.0,1.0676679197196574e-15,0.042548594734406614,3.125147732604702,6.808271521722773,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,250,3.125,8.0,1.0676679197196574e-15,0.013564493684540702,3.124944931098864,6.813800327699893,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,300,3.125,8.0,1.0676679197196574e-15,0.05621648747444064,3.125268036248852,6.818263713550488,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,0,349,3.125,8.0,1.0676679197196574e-15,0.056149277897982186,3.1250792057752874,6.820773592294207,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,0,3.125,3.0,1.0676679197196574e-15,0.05314627870116169,3.124822475402451,6.820433464998197,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,50,3.125,3.0,1.0676679197196574e-15,0.054391181357971136,3.1251147197682916,6.822349298379508,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,100,3.125,3.0,1.0676679197196574e-15,0.009788572410182415,3.1249957387248912,6.8223886655647785,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,150,3.125,3.0,1.0676679197196574e-15,0.012989732482900295,3.1250297764818127,6.821923392219685,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,200,3.125,3.0,1.0676679197196574e-15,0.018541829911625816,3.1250528639923223,6.821201661879031,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,250,3.125,3.0,1.0676679197196574e-15,0.0169906028547549,3.1249191710561544,6.818577423407231,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,300,3.125,3.0,1.0676679197196574e-15,0.04895589365541532,3.1247102178352555,6.816853756763719,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,1,349,3.125,3.0,1.0676679197196574e-15,0.08172651155467722,3.1244312287232616,6.814231662541955,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,0,3.125,1.0,1.0676679197196574e-15,0.060546035506067256,3.124533135352521,6.814423594109669,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,50,3.125,1.0,1.0676679197196574e-15,0.09917112043104405,3.12494045581299,6.8137116950600785,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,100,3.125,1.0,1.0676679197196574e-15,0.08737956068177048,3.1243304061293418,6.809741483763028,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,150,3.125,1.0,1.0676679197196574e-15,0.013338746730589055,3.125015384487671,6.805530402744518,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,200,3.125,1.0,1.0676679197196574e-15,0.016362291650925707,3.124642074482858,6.798692566774282,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,250,3.125,1.0,1.0676679197196574e-15,0.05507383056159005,3.124117225084651,6.796711218246195,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,300,3.125,1.0,1.0676679197196574e-15,0.07640122218191342,3.122113769826983,6.79135059359921,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,2,349,3.125,1.0,1.0676679197196574e-15,0.04618157201785712,3.125093906176066,6.790284571760828,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,3,0,3.125,0.3,1.0676679197196574e-15,0.05553432876605518,3.1245612325552754,6.789654845355049,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,3,50,3.125,0.3,1.0676679197196574e-15,0.017312751584856012,3.1253538053976326,6.784471138345668,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,3,100,3.125,0.3,1.0676679197196574e-15,0.019815419875441043,3.1237348527743305,6.7773460179299265,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,3,150,3.125,0.3,1.0676679197196574e-15,0.1360020750187984,3.123169864604677,6.777096227710355,False,relax,,,,,,,,,,,,,,,,,,,
0,-1.0,3,200,3.125,0.3,1.0676679197196574e-15,0.010796149651026423,3.1251757675769625,6.768433107290694,False,relax,,,,,,,,,,,,,,,,,,,
