iteration,channel,amplitude,killability,residual,jacobian_rank,tangent_dim,sigma_min_positive,max_abs_amplitude,amp_step
0,11,1.199311052010389,0.5443665577994907,3.5355783854473e-15,608,36,0.12199749783261772,6.170645837565971,0.05
1,11,1.1493110520103889,0.4679300985675543,1.2247111943753786e-14,608,36,0.11860860368555454,6.17836981737619,0.05
2,11,1.0993110520103888,0.35592339398931955,1.4226093277903005e-12,608,36,0.1115219284575476,6.192305899368809,0.05
3,11,1.0493110520103888,0.15720977949396123,9.275952864453717e-12,608,36,0.09314678233460562,6.227671505060603,0.05
4,11,1.03,0.07802381530879493,2.9213990805180644e-11,608,36,0.08233749655098305,6.263654171753755,0.025104367613505364
