iteration,channel,amplitude,killability,residual,jacobian_rank,tangent_dim,sigma_min_positive,max_abs_amplitude,amp_step
0,3,1.3481324744507612,0.7060945768654925,6.505658128046062e-15,611,33,0.021514265393462396,7.674780538310013,0.05
1,3,1.2981324744507612,0.661364376434834,7.353349969833875e-15,611,33,0.02136967945641114,7.671914947076107,0.05
2,3,1.2481324744507611,0.6064767182136379,5.465099610410007e-15,611,33,0.021205386168647488,7.666130511804659,0.05
3,3,1.198132474450761,0.5386699863529323,6.756809154669437e-15,611,33,0.02101098486265472,7.656412115186146,0.05
4,3,1.148132474450761,0.45406837473166395,9.640897786357362e-15,611,33,0.020761090683381788,7.642322176125307,0.05
5,3,1.098132474450761,0.3463366128774421,1.1665001289239847e-12,611,33,0.020389198705751087,7.6259665323052275,0.05
6,3,1.048132474450761,0.19992562901615815,6.169893601107916e-15,611,33,0.019670020671524235,7.627981275548458,0.05
7,3,1.03,0.12237770799330198,6.750636949692363e-15,611,33,0.019178604550270643,7.64848824539952,0.02357221678598922
