trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,7.651196446640336e-13,True,3.884127983398618e-12,2.207593769584253,True,35,35.000000000233854,-5.991296347929165e-11,2.302879935381466,5.123833903001297
0,1.0,2.5,7.651196446640336e-13,True,4.50755820043792e-15,2.9670147914109917,True,35,35.000000000409386,-2.354454409214668e-10,2.527197063073787,5.232256948424725
1,-1.0,2.5,6.358318628927453e-13,True,4.326486825734799e-15,1.7748221149797023,True,35,35.000000000309456,-1.355147105641663e-10,1.9078987967962138,5.257487616563004
1,1.0,2.5,6.358318628927453e-13,True,4.854947524742874e-15,1.4664866659223859,True,35,35.00000000294472,-2.770775608951226e-09,1.935047555126776,4.993171772110902
2,-1.0,2.5,5.946525872722265e-13,True,4.792504085079276e-15,3.036017160058545,True,35,35.000000000340606,-1.666649040998891e-10,3.436047087991065,5.2671782401235845
2,1.0,2.5,5.946525872722265e-13,True,4.528961417609036e-15,3.2886967889095033,True,35,35.00000000057639,-4.0245140553452075e-10,2.0480340605693446,5.506622061607004
3,-1.0,2.5,7.283799330069989e-13,True,4.680557289542625e-15,3.123385970815168,True,35,35.000000000402,-2.2805579646956176e-10,2.2553025477277466,5.351147330469439
3,1.0,2.5,7.283799330069989e-13,True,4.685087311607304e-15,3.9899862531030355,True,35,35.0000000012476,-1.0736584954429418e-09,1.9937134212539225,5.576484294512019
4,-1.0,2.5,5.650099466402085e-13,True,4.576075432902522e-15,3.3838534791626222,True,35,35.00000000028331,-1.0936673788819462e-10,2.0040414523989454,5.468648458399676
4,1.0,2.5,5.650099466402085e-13,True,4.2190182826285965e-11,3.6169279590672843,True,35,35.00000000028206,-1.0811618267325684e-10,1.8456763361466109,5.692965418563423
