trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,1.6319438596187196e-15,True,9.65012785180515e-13,4.201256303421279,True,33,32.99999999997965,1.9326762412674725e-11,2.2413638614536047,7.932509987446579
0,1.0,2.5,1.6319438596187196e-15,True,4.9042751113852866e-11,2.3778264955423962,True,33,32.99999979533004,2.0466893602133496e-07,2.362837881776338,7.976583355682533
1,-1.0,2.5,1.2006388115559374e-15,True,1.6056736572165495e-14,2.5523155688590715,True,33,32.99999999999886,1.1368683772161603e-13,2.2780008858926433,7.78582565888326
1,1.0,2.5,1.2006388115559374e-15,True,5.412483594073197e-15,2.3401295970301543,True,33,33.000000000018304,-1.9326762412674725e-11,2.504001494351345,7.983152762061579
2,-1.0,2.5,1.4695548826779904e-15,True,6.751181437606805e-15,2.1737671902629176,True,33,33.000000000149385,-1.50407686305698e-10,2.138202459289752,7.687559135223674
2,1.0,2.5,1.4695548826779904e-15,True,7.120501682160998e-12,2.530880304544266,True,33,32.999999999242846,7.561311576864682e-10,1.9442375959182963,7.837645655241972
3,-1.0,2.5,1.2827358956735738e-15,False,0.6233920497262074,6.567397917691544,,,,,,
3,1.0,2.5,1.2827358956735738e-15,False,0.898922341251976,5.88547556336388,,,,,,
4,-1.0,2.5,9.75880521730124e-16,True,8.311438425874227e-12,2.9432245534008405,False,33,32.9999999994609,5.380798029364087e-10,1.8918503217420344,8.361636886159046
4,1.0,2.5,9.75880521730124e-16,True,6.058919456117352e-15,3.0568553205915507,False,33,33.000000000000114,-1.1368683772161603e-12,1.9245243700558246,8.079976057231535
