state_id,parent_id,generation,tau,source,frozen_zero_count,smooth_support,structural_support,structural_additions,hard_support,hard_additions,u_support,v_support,output_support,max_abs_amplitude,residual,note,additions_rel_1em03,support_rel_1em03,additions_rel_1em04,support_rel_1em04,additions_rel_1em06,support_rel_1em06,additions_rel_1em08,support_rel_1em08,additions_rel_1em12,support_rel_1em12,step,tangent_dim,tangent_grad_norm,correction_iters,correction_norm,noise_mix
0,-1,0,0.1,initial,429,523.8853929918575,192,137,192,137,69,67,56,4.866111810030523,2.249856479344028e-15,initial,137,192,137,192,137,192,137,192,137,192,,,,,,
1,0,1,0.1,projected_sparsity,429,520.9645945127502,192,137,192,137,69,67,56,4.867390052021411,3.1860337491447517e-15,accepted_child,134,189,136,191,137,192,137,192,137,192,0.2,18,23.00776189248804,3,0.00854754864266498,0.0
2,0,1,0.1,projected_sparsity_noise,429,521.0036644211248,192,137,192,137,69,67,56,4.867632199519684,3.018130073615717e-15,accepted_child,136,191,136,191,137,192,137,192,137,192,0.2,18,23.00776189248804,3,0.009656872948432317,0.06
3,0,1,0.1,projected_sparsity_noise,429,521.0439738056903,192,137,192,137,69,67,56,4.86231790123621,2.692631529896702e-15,accepted_child,133,188,136,191,137,192,137,192,137,192,0.2,18,23.00776189248804,3,0.009370460551519131,0.12
1,0,1,0.1,projected_sparsity,429,520.9645945127502,192,137,192,137,69,67,56,4.867390052021411,3.1860337491447517e-15,frontier,134,189,136,191,137,192,137,192,137,192,,,,,,
2,0,1,0.1,projected_sparsity_noise,429,521.0036644211248,192,137,192,137,69,67,56,4.867632199519684,3.018130073615717e-15,frontier,136,191,136,191,137,192,137,192,137,192,,,,,,
3,0,1,0.1,projected_sparsity_noise,429,521.0439738056903,192,137,192,137,69,67,56,4.86231790123621,2.692631529896702e-15,frontier,133,188,136,191,137,192,137,192,137,192,,,,,,
0,-1,0,0.1,retau:initial,429,523.8853929918575,192,137,192,137,69,67,56,4.866111810030523,2.249856479344028e-15,frontier,137,192,137,192,137,192,137,192,137,192,,,,,,
4,1,2,0.1,projected_sparsity,429,518.8740708269848,192,137,192,137,69,67,56,4.8752740098328315,2.617067744067971e-15,accepted_child,136,191,136,191,137,192,137,192,137,192,0.2,18,15.241387671466576,3,0.010218858889681702,0.0
5,1,2,0.1,projected_sparsity_noise,429,518.85902355401,192,137,192,137,69,67,56,4.878875386458135,2.7489079442760406e-15,accepted_child,136,191,136,191,137,192,137,192,137,192,0.2,18,15.241387671466576,3,0.010297578016165179,0.06
