iteration,channel,amplitude,killability,residual,jacobian_rank,tangent_dim,sigma_min_positive,max_abs_amplitude,amp_step
0,15,1.4133311349525504,0.7044656387794996,3.1516247183706516e-15,628,72,0.045727389637026584,4.30281821179076,0.05
1,15,1.3633311349525503,0.6784756291693753,2.0647549577110173e-12,628,72,0.04662534094981879,4.29963233841582,0.05
2,15,1.3133311349525503,0.646151914799857,6.534943823628671e-12,628,72,0.0478301422493549,4.2957903376197475,0.05
3,15,1.2633311349525502,0.6054834927459445,3.128786986993931e-11,628,72,0.048179581991559056,4.2978759223064325,0.05
4,15,1.2133311349525502,0.5536273959003858,2.554148613149425e-15,628,72,0.04826892581192315,4.2994870565565115,0.05
5,15,1.1633311349525501,0.4863341881576468,2.950803706440926e-15,628,72,0.04850010617838527,4.276426195373504,0.05
6,15,1.11333113495255,0.39649179088205316,3.0901674332225212e-15,628,72,0.04884815836014038,4.279829858135189,0.05
7,15,1.0883311349525502,0.3392081246455794,2.382129589268178e-15,628,72,0.048869857747183866,4.299278357051476,0.03250000000000003
8,15,1.0720811349525503,0.29558108954069207,2.749112059281597e-15,628,72,0.04884992779692461,4.321303491390171,0.021124999999999984
9,15,1.0615186349525503,0.2636583683616379,3.436416834509375e-11,628,72,0.048990667986644094,4.342736226575958,0.01373125000000004
10,15,1.0477873849525503,0.21628308685522107,2.70174471351393e-15,628,72,0.049413715077196316,4.367837658675121,0.017850624999999964
11,15,1.0388936924762753,0.18107022684690402,3.11656564308176e-15,628,72,0.0496948121358199,4.380925977798253,0.01156180021915768
12,15,1.0344468462381378,0.16190270963224415,2.7595769374742097e-15,628,72,0.04996021905918035,4.389105447854999,0.005780900109578913
13,15,1.03,0.1413914237516106,3.2759514676679466e-15,628,72,0.05036670930118628,4.398405132134909,0.005780900109579057
