stage,fraction,step,target_amplitude,tensor_residual,max_abs_amplitude
0,0.8,0,0.9982837831247869,1.0281822717510807,4.418071385729833
0,0.8,50,0.9982837831247869,0.051909460291515774,4.289666737157837
0,0.8,100,0.9982837831247869,0.015008920143371369,4.296605285033425
0,0.8,150,0.9982837831247869,0.011444046619555484,4.294796123961743
0,0.8,200,0.9982837831247869,0.010726263464877775,4.293962847965813
0,0.8,250,0.9982837831247869,0.008055229615158437,4.29352274079815
0,0.8,300,0.9982837831247869,0.007074791961493033,4.293235487569612
0,0.8,350,0.9982837831247869,0.009048827024089776,4.288048958958796
0,0.8,400,0.9982837831247869,0.005602977512795472,4.287614690088305
0,0.8,450,0.9982837831247869,0.018862783290189176,4.283837568134386
0,0.8,500,0.9982837831247869,0.008004735875991929,4.280167363336937
0,0.8,550,0.9982837831247869,0.005790806154017617,4.270678705213098
0,0.8,600,0.9982837831247869,0.013055863462353804,4.269547961023283
0,0.8,650,0.9982837831247869,0.016950389971536372,4.2512456609680855
0,0.8,699,0.9982837831247869,0.003925448290064833,4.250292460643168
1,0.6,0,0.7487128373435902,0.2529486667408389,4.250270232496994
1,0.6,50,0.7487128373435902,0.25194279455038243,4.236746784820753
1,0.6,100,0.7487128373435902,0.2521020619865209,4.226693155991916
1,0.6,150,0.7487128373435902,0.2517958414224116,4.218211004760948
1,0.6,200,0.7487128373435902,0.253069354899483,4.205310685115881
1,0.6,250,0.7487128373435902,0.271201159972391,4.201971245976694
1,0.6,300,0.7487128373435902,0.2514286711858301,4.180302392616644
1,0.6,350,0.7487128373435902,0.2538308287846483,4.166664025461204
1,0.6,400,0.7487128373435902,0.25159374785210864,4.161501118883293
1,0.6,450,0.7487128373435902,0.251616381116828,4.1384629983019305
1,0.6,500,0.7487128373435902,0.2531431214408865,4.1367662000835725
1,0.6,550,0.7487128373435902,0.25140745645417506,4.123534121591936
1,0.6,600,0.7487128373435902,0.25455826083724387,4.09180481415089
1,0.6,650,0.7487128373435902,0.25130115743043646,4.08778619360491
1,0.6,699,0.7487128373435902,0.26224010382209095,4.083819820684881
2,0.4,0,0.49914189156239347,0.5054425706527452,4.08165738193844
2,0.4,50,0.49914189156239347,0.5012934661013951,4.072943479234596
2,0.4,100,0.49914189156239347,0.5015960076712757,4.054630112735092
2,0.4,150,0.49914189156239347,0.5013102154662227,4.042768157604757
2,0.4,200,0.49914189156239347,0.5012635836154172,4.031917723284906
2,0.4,250,0.49914189156239347,0.5019825748759583,4.018942357711997
2,0.4,300,0.49914189156239347,0.5029711610526431,4.01255002728847
2,0.4,350,0.49914189156239347,0.5021114087268811,3.99556155611259
2,0.4,400,0.49914189156239347,0.5063650953977333,3.9835116707657225
2,0.4,450,0.49914189156239347,0.5010861636472067,3.9742583830190585
2,0.4,500,0.49914189156239347,0.5010646917726742,3.957501178105398
2,0.4,550,0.49914189156239347,0.5023648779626159,3.9425904572919284
2,0.4,600,0.49914189156239347,0.5008946878932172,3.9365522854071875
2,0.4,650,0.49914189156239347,0.502260994902169,3.9277324017778676
2,0.4,699,0.49914189156239347,0.5011296487297375,3.915065785116348
3,0.2,0,0.24957094578119673,0.7506161502581263,3.914377226871756
3,0.2,50,0.24957094578119673,0.7507188948242468,3.8988420077104466
3,0.2,100,0.24957094578119673,0.7571915674119641,3.895061931093385
3,0.2,150,0.24957094578119673,0.7504783389460806,3.878223205492867
3,0.2,200,0.24957094578119673,0.7511898286510181,3.859859158064685
3,0.2,250,0.24957094578119673,0.7505925437080307,3.8565727730664365
3,0.2,300,0.24957094578119673,0.7506833014857214,3.8421604468998813
3,0.2,350,0.24957094578119673,0.751732822217746,3.8283398398500386
3,0.2,400,0.24957094578119673,0.7504455559109995,3.8205725162475233
3,0.2,450,0.24957094578119673,0.7517338954133896,3.810106785705872
3,0.2,500,0.24957094578119673,0.7505383882149399,3.8041145389954307
3,0.2,550,0.24957094578119673,0.7505491649618719,3.779951135436201
3,0.2,600,0.24957094578119673,0.7503580866448764,3.7813306128548354
3,0.2,650,0.24957094578119673,0.3456015725606834,3.8008003181120995
3,0.2,699,0.24957094578119673,0.028983700484037037,3.872719880132559
4,0.0,0,0.0,0.21676578727887877,3.8718533276230565
4,0.0,50,0.0,0.015271845414586514,3.9106035461350634
4,0.0,100,0.0,0.004274119528172907,3.906338598785056
