r,s,projected_gradient_norm,collision_value,sign_u,sign_v,sign_w,amp_r,amp_s
2,5,0.6666666666666669,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
7,12,0.6666666666666669,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
7,17,0.6666666666666669,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
9,10,0.6666666666666669,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
9,14,0.6666666666666669,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
13,18,0.6666666666666669,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
14,15,0.6666666666666669,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
14,18,0.6666666666666669,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
15,18,0.6666666666666669,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
0,3,0.6666666666666667,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
0,6,0.6666666666666667,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
1,4,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
2,8,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
3,4,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
4,5,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
5,10,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
6,7,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
6,16,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
7,8,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
8,18,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
11,12,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
11,13,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
12,13,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
16,17,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
17,18,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
0,1,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
0,2,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
1,7,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
2,9,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
2,14,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
3,5,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
4,7,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
5,8,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
6,11,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
8,13,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
9,13,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
10,13,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
11,16,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
16,18,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
1,2,0.6666666666666665,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
3,6,0.6666666666666665,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
5,15,0.6666666666666665,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
